Strategic Area,InterZone,SAScore,Indicator
Dunfermline,S02001744,0.7830998139764981,Attainment
Dunfermline,S02001746,-0.4271308001899149,Attainment
Dunfermline,S02001748,-1.1183607743409747,Attainment
Dunfermline,S02001768,-0.5312740937735618,Attainment
Dunfermline,S02001757,0.9295917295689684,Attainment
Dunfermline,S02001750,0.2595415726085052,Child Poverty
Dunfermline,S02001758,0.8625709887113631,Child Poverty
Dunfermline,S02001749,0.8804542957421723,Child Poverty
Dunfermline,S02001752,-1.7511202329180175,Child Poverty
Dunfermline,S02001753,-2.009972145908855,Child Poverty
Dunfermline,S02001756,1.1917028435592876,Child Poverty
Dunfermline,S02001754,-0.37489933218477806,Child Poverty
Dunfermline,S02001751,0.691802415860745,Child Poverty
Dunfermline,S02001755,0.844492794166294,Child Poverty
Dunfermline,S02001745,-0.8931338528037803,Child Poverty
Dunfermline,S02001747,0.16737659533168237,Child Poverty
Dunfermline,S02001744,0.5455517417173014,Child Poverty
Dunfermline,S02001746,-0.6996218606315293,Child Poverty
Dunfermline,S02001748,-0.6641231743774144,Child Poverty
Dunfermline,S02001768,-0.24988603968052014,Child Poverty
Dunfermline,S02001757,1.199263390807547,Child Poverty
Dunfermline,S02001750,0.48805438601123435,Crime Rate
Dunfermline,S02001758,0.23507876162340202,Crime Rate
Dunfermline,S02001749,0.7424375624663024,Crime Rate
Dunfermline,S02001752,-0.9672698489184598,Crime Rate
Dunfermline,S02001753,-0.7251671962168751,Crime Rate
Dunfermline,S02001756,0.9344111815418509,Crime Rate
Dunfermline,S02001754,0.45272210188479567,Crime Rate
Dunfermline,S02001751,0.39049160586198867,Crime Rate
Dunfermline,S02001755,0.8574499744180457,Crime Rate
Dunfermline,S02001745,-0.6931884484862089,Crime Rate
Dunfermline,S02001747,-2.9477458942185653,Crime Rate
Dunfermline,S02001744,0.7474636865136828,Crime Rate
Dunfermline,S02001746,-0.009030147188528237,Crime Rate
Dunfermline,S02001748,-0.4621834429791232,Crime Rate
Dunfermline,S02001768,0.07294339685875997,Crime Rate
Dunfermline,S02001757,0.8835323208276975,Crime Rate
Dunfermline,S02001750,-0.15454578373459563,Depopulation
Dunfermline,S02001758,-0.8207209882849587,Depopulation
Dunfermline,S02001749,-0.7771226077084642,Depopulation
Dunfermline,S02001752,-0.6159214618954427,Depopulation
Dunfermline,S02001753,-0.6831804030927288,Depopulation
Dunfermline,S02001756,2.0329912154428267,Depopulation
Dunfermline,S02001754,-0.7816379881082234,Depopulation
Dunfermline,S02001751,1.7721800029803683,Depopulation
Dunfermline,S02001755,2.0524984671178066,Depopulation
Dunfermline,S02001745,-0.3354465111421517,Depopulation
Dunfermline,S02001747,-0.39680589365907587,Depopulation
Dunfermline,S02001744,-0.2339252731465964,Depopulation
Dunfermline,S02001746,-0.4165109088856689,Depopulation
Dunfermline,S02001748,-0.4663030504005012,Depopulation
Dunfermline,S02001768,0.02201260758488375,Depopulation
Dunfermline,S02001757,-0.19756142306747762,Depopulation
Dunfermline,S02001750,0.23896886249594906,Early Mortality
Dunfermline,S02001758,0.7025567836488438,Early Mortality
Dunfermline,S02001749,0.8431711294013803,Early Mortality
Dunfermline,S02001752,-1.6148335473275328,Early Mortality
Dunfermline,S02001753,-2.0685345222947022,Early Mortality
Dunfermline,S02001756,1.3430111865686005,Early Mortality
Dunfermline,S02001754,-0.15046696226400602,Early Mortality
Dunfermline,S02001751,1.0453042514206519,Early Mortality
Dunfermline,S02001755,0.5169019052724475,Early Mortality
Dunfermline,S02001745,-1.384687411115373,Early Mortality
Dunfermline,S02001747,0.028596618655239762,Early Mortality
Dunfermline,S02001744,0.5004236616295722,Early Mortality
Dunfermline,S02001746,-0.28284218619510515,Early Mortality
Dunfermline,S02001748,-0.6876577050217441,Early Mortality
Dunfermline,S02001768,-0.001613494690031799,Early Mortality
Dunfermline,S02001757,0.9717014298158084,Early Mortality
Dunfermline,S02001750,-0.49416110935327107,Emergency Admissions
Dunfermline,S02001758,1.3255957599216674,Emergency Admissions
Dunfermline,S02001749,0.7266095635684703,Emergency Admissions
Dunfermline,S02001752,-1.2639702560450823,Emergency Admissions
Dunfermline,S02001753,-0.9724828588334731,Emergency Admissions
Dunfermline,S02001756,0.2146658134464686,Emergency Admissions
Dunfermline,S02001754,0.197969010524348,Emergency Admissions
Dunfermline,S02001751,1.1583736272541643,Emergency Admissions
Dunfermline,S02001755,1.0823398066780934,Emergency Admissions
Dunfermline,S02001745,-2.191934297580651,Emergency Admissions
Dunfermline,S02001747,0.3794667060052111,Emergency Admissions
Dunfermline,S02001744,0.6426053199759014,Emergency Admissions
Dunfermline,S02001746,-1.0304769165452856,Emergency Admissions
Dunfermline,S02001748,0.02281312602401908,Emergency Admissions
Dunfermline,S02001768,-0.5636491640539145,Emergency Admissions
Dunfermline,S02001757,0.7662358690133307,Emergency Admissions
Dunfermline,S02001750,0.19091401961258672,Out of Work Benefits
Dunfermline,S02001758,0.7322427540599026,Out of Work Benefits
Dunfermline,S02001749,1.1107822873346458,Out of Work Benefits
Dunfermline,S02001752,-1.7553975846785512,Out of Work Benefits
Dunfermline,S02001753,-1.8508899277921458,Out of Work Benefits
Dunfermline,S02001756,1.1917387158201267,Out of Work Benefits
Dunfermline,S02001754,-0.43086330341608153,Out of Work Benefits
Dunfermline,S02001751,0.7978901889331209,Out of Work Benefits
Dunfermline,S02001755,1.0766970283162942,Out of Work Benefits
Dunfermline,S02001745,-1.177525418144212,Out of Work Benefits
Dunfermline,S02001747,-0.14386895820018286,Out of Work Benefits
Dunfermline,S02001744,0.36368640488158294,Out of Work Benefits
Dunfermline,S02001746,-0.6374110202961203,Out of Work Benefits
Dunfermline,S02001748,-0.550447031718461,Out of Work Benefits
Dunfermline,S02001768,0.06695629306517575,Out of Work Benefits
Dunfermline,S02001757,1.0154955522223197,Out of Work Benefits
Dunfermline,S02001750,1.1306874542511782,Positive Destinations
Dunfermline,S02001758,1.1310957111710342,Positive Destinations
Dunfermline,S02001749,0.8954279526683944,Positive Destinations
Dunfermline,S02001752,0.43066402294411227,Positive Destinations
Dunfermline,S02001753,-1.844095090100274,Positive Destinations
Dunfermline,S02001756,-0.559992182456596,Positive Destinations
Dunfermline,S02001754,0.4221159174698773,Positive Destinations
Dunfermline,S02001751,-0.06073408513842031,Positive Destinations
Dunfermline,S02001755,-0.559992182456596,Positive Destinations
Dunfermline,S02001745,-2.0889155760940126,Positive Destinations
Dunfermline,S02001747,-0.06536962111626535,Positive Destinations
Dunfermline,S02001744,0.5496528796970144,Positive Destinations
Dunfermline,S02001746,0.7059425261718008,Positive Destinations
Dunfermline,S02001748,-0.7764508296811613,Positive Destinations
Dunfermline,S02001768,1.1310957111710342,Positive Destinations
Dunfermline,S02001757,-0.4411326085011215,Positive Destinations
Glenrothes,S02001801,0.90685479762296,Attainment
Glenrothes,S02001806,0.21433428777250857,Attainment
Glenrothes,S02001800,-1.2161629657319266,Attainment
Glenrothes,S02001803,-1.2233020267740398,Attainment
Glenrothes,S02001808,-1.2460775268243136,Attainment
Glenrothes,S02001805,0.09019043867739057,Attainment
Glenrothes,S02001804,0.26756135793161084,Attainment
Glenrothes,S02001807,1.436345687834761,Attainment
Glenrothes,S02001810,1.3695038596705698,Attainment
Glenrothes,S02001802,-0.19575106819513324,Attainment
Glenrothes,S02001809,-0.16735276785505174,Attainment
Glenrothes,S02001799,0.13141377788073072,Attainment
Glenrothes,S02001798,-1.4941125148891663,Attainment
Glenrothes,S02001811,1.1265546628790806,Attainment
Glenrothes,S02001801,0.30088190555649513,Child Poverty
Glenrothes,S02001806,0.19313488037014845,Child Poverty
Glenrothes,S02001800,-0.9685670287582111,Child Poverty
Glenrothes,S02001803,-1.1881191817391141,Child Poverty
Glenrothes,S02001808,-1.2599373002487684,Child Poverty
Glenrothes,S02001805,0.18694761915938188,Child Poverty
Glenrothes,S02001804,0.4205146981443301,Child Poverty
Glenrothes,S02001807,1.9511800099053025,Child Poverty
Glenrothes,S02001810,0.841934696497584,Child Poverty
Glenrothes,S02001802,-0.06276228428856825,Child Poverty
Glenrothes,S02001809,-1.407069532864897,Child Poverty
Glenrothes,S02001799,-0.4545874657767839,Child Poverty
Glenrothes,S02001798,0.02655478590935002,Child Poverty
Glenrothes,S02001811,1.4198941981337527,Child Poverty
Glenrothes,S02001801,0.050713489907679356,Crime Rate
Glenrothes,S02001806,0.40485398427298114,Crime Rate
Glenrothes,S02001800,-0.9407548065127989,Crime Rate
Glenrothes,S02001803,-3.1521834351080855,Crime Rate
Glenrothes,S02001808,0.14408184407632457,Crime Rate
Glenrothes,S02001805,0.20723007344996744,Crime Rate
Glenrothes,S02001804,0.0941505211229612,Crime Rate
Glenrothes,S02001807,0.707890908917707,Crime Rate
Glenrothes,S02001810,0.635156400686061,Crime Rate
Glenrothes,S02001802,-0.028592647469933955,Crime Rate
Glenrothes,S02001809,0.24673982297485414,Crime Rate
Glenrothes,S02001799,0.6594952153241532,Crime Rate
Glenrothes,S02001798,0.3027498681713347,Crime Rate
Glenrothes,S02001811,0.6684687601867952,Crime Rate
Glenrothes,S02001801,-0.3221945737420707,Depopulation
Glenrothes,S02001806,0.032355310056101545,Depopulation
Glenrothes,S02001800,-1.5772000140762765,Depopulation
Glenrothes,S02001803,-0.2823234970416784,Depopulation
Glenrothes,S02001808,-1.0496343827906738,Depopulation
Glenrothes,S02001805,0.8979426973577989,Depopulation
Glenrothes,S02001804,0.006844302149027313,Depopulation
Glenrothes,S02001807,1.5280682436647766,Depopulation
Glenrothes,S02001810,-0.26825328191369596,Depopulation
Glenrothes,S02001802,-0.29738989490821205,Depopulation
Glenrothes,S02001809,-1.3854262481527349,Depopulation
Glenrothes,S02001799,-0.10695015180720323,Depopulation
Glenrothes,S02001798,1.465069711622481,Depopulation
Glenrothes,S02001811,1.3590917795823636,Depopulation
Glenrothes,S02001801,0.5583299238551445,Early Mortality
Glenrothes,S02001806,-0.6249746022293783,Early Mortality
Glenrothes,S02001800,-1.488069194350126,Early Mortality
Glenrothes,S02001803,-2.0511970092519367,Early Mortality
Glenrothes,S02001808,-0.7252702424651579,Early Mortality
Glenrothes,S02001805,0.5620104978087509,Early Mortality
Glenrothes,S02001804,0.6098579592056366,Early Mortality
Glenrothes,S02001807,1.6146546485402389,Early Mortality
Glenrothes,S02001810,0.6641464250213344,Early Mortality
Glenrothes,S02001802,-0.13453812291129844,Early Mortality
Glenrothes,S02001809,-0.45934877431708115,Early Mortality
Glenrothes,S02001799,0.05961215314144952,Early Mortality
Glenrothes,S02001798,0.2712451554738291,Early Mortality
Glenrothes,S02001811,1.143541182478594,Early Mortality
Glenrothes,S02001801,-1.429925317073238,Emergency Admissions
Glenrothes,S02001806,-0.7831370679372929,Emergency Admissions
Glenrothes,S02001800,0.7732801537822742,Emergency Admissions
Glenrothes,S02001803,-0.9087735422815939,Emergency Admissions
Glenrothes,S02001808,0.3536351895556463,Emergency Admissions
Glenrothes,S02001805,-0.15809048893083322,Emergency Admissions
Glenrothes,S02001804,1.2821380631538686,Emergency Admissions
Glenrothes,S02001807,2.065472260722675,Emergency Admissions
