year,la,Crime Rate,Child Poverty,Out of Work Benefits,Attainment,Positive Destinations,Emergency Admissions,Depopulation,Early Mortality
2010,Glasgow City,0.207532124,,,,0.191138733,0.196160457,-0.077090945,
2010,Highland,0.21149447,,,,0.165437655,0.159222314,-0.077056774,
2010,Inverclyde,0.321161362,,,,0.287875039,0.269826211,-0.23680769,
2010,Midlothian,0.247340606,,,,0.204174989,0.216554411,-0.126175947,
2010,Moray,0.135450815,,,,0.060883083,0.092867156,-0.034336569,
2010,North Ayrshire,0.286481579,,,,0.077105982,0.202937566,-0.093250171,
2010,North Lanarkshire,0.183356441,,,,0.139430947,0.135826895,-0.039110381,
2010,Orkney Islands,0.12650484,,,,0.208595119,0.011261059,-0.133540598,
2010,Perth and Kinross,0.24898288,,,,0.164378696,0.214068762,-0.025000574,
2010,Renfrewshire,0.287504929,,,,0.270362208,0.272314494,-0.033184441,
2010,Scottish Borders,0.234642186,,,,0.098569433,0.124556599,-0.119634286,
2010,Shetland Islands,0.072798219,,,,-0.008450752,0.068754906,-0.032803561,
2010,South Ayrshire,0.225735622,,,,0.173404565,0.225317509,0.009402032,
2010,South Lanarkshire,0.24739778,,,,0.21112669,0.165702547,-0.094806054,
2010,Stirling,0.301930276,,,,0.305609591,0.309537596,-0.088469393,
2010,West Dunbartonshire,0.190388633,,,,0.126905772,0.070794666,0.014407409,
2010,West Lothian,0.198439674,,,,0.136793652,0.107148819,-0.038788824,
2011,Aberdeen City,0.315373197,,,,0.287497376,0.286262814,0.060979861,0.297666354
2011,Aberdeenshire,0.262532851,,,,0.150755723,0.202193444,-0.152519002,0.283753682
2011,Angus,0.310415322,,,,0.144112079,0.133593085,-0.081033649,0.282510994
2011,Argyll and Bute,0.188676447,,,,0.129144371,0.141828773,0.009446399,0.220630039
2011,Clackmannanshire,0.192954361,,,,0.053990209,0.081316096,-0.098397781,0.176558901
2011,Dumfries and Galloway,0.17245338,,,,0.115809211,0.08377826,-0.0259493,0.168366632
2011,Dundee City,0.234932388,,,,0.172938564,0.253319711,-0.048355156,0.262978256
2011,East Ayrshire,0.243881815,,,,0.147959509,0.248952908,-0.08504226,0.258768239
2011,East Dunbartonshire,0.330775878,,,,0.223782201,0.288884454,0.038584515,0.34809027
2011,East Lothian,0.199561803,,,,0.122262087,0.143893483,-0.000979539,0.158738007
2011,East Renfrewshire,0.369037042,,,,0.232227281,0.274423886,0.025923895,0.378023528
2011,"Edinburgh, City of",0.37765088,,,,0.271025277,0.345368043,0.095032483,0.387583626
2011,Eilean Siar,0.037469548,,,,-0.030659408,0.009525931,-0.042448038,-0.011974877
2011,Falkirk,0.249101975,,,,0.114934401,0.180035,-0.126293417,0.209805069
2011,Fife,0.361935456,,,,0.191837302,0.1994913,-0.213399246,0.366607219
2011,Glasgow City,0.205949322,,,,0.10858334,0.195016801,-0.085824818,0.227909061
2011,Highland,0.206483987,,,,0.125565001,0.174562883,-0.075870559,0.221105733
2011,Inverclyde,0.31438687,,,,0.248520676,0.3267651,-0.245171042,0.341202465
2011,Midlothian,0.247295155,,,,0.131178535,0.124210542,-0.115808114,0.236633289
2011,Moray,0.137893696,,,,0.038195672,0.119329143,-0.031748109,0.094580434
2011,North Ayrshire,0.290974255,,,,0.069852292,0.19499272,-0.090642601,0.311323572
2011,North Lanarkshire,0.186288163,,,,0.125138806,0.155554642,-0.034408832,0.178059034
2011,Orkney Islands,0.110367275,,,,-0.064848867,0.039969083,-0.144245059,0.131947378
2011,Perth and Kinross,0.253997564,,,,0.185277421,0.192042418,-0.018264926,0.27555567
2011,Renfrewshire,0.287322435,,,,0.259175708,0.238443796,-0.029284359,0.321756453
2011,Scottish Borders,0.228548282,,,,0.098768426,0.085503911,-0.126213874,0.184591121
2011,Shetland Islands,0.082905336,,,,-0.02967168,-0.014671989,-0.033249395,-0.005172889
2011,South Ayrshire,0.231997017,,,,0.14657497,0.20457352,0.030199686,0.271808214
2011,South Lanarkshire,0.249640861,,,,0.159671087,0.133524936,-0.097005674,0.262770838
2011,Stirling,0.307338189,,,,0.268305726,0.307816465,-0.090703482,0.330070145
2011,West Dunbartonshire,0.187313876,,,,0.026443587,0.136064204,0.011404023,0.208878518
2011,West Lothian,0.187573268,,,,0.167650999,0.125772492,-0.032776358,0.20028758
2012,Aberdeen City,0.319008248,,,,0.260080735,0.29510889,0.061800378,0.288372384
2012,Aberdeenshire,0.268751718,,,,0.108462208,0.161465694,-0.160101897,0.289146228
2012,Angus,0.311107833,,,,0.057642268,0.104468613,-0.078464686,0.260000539
2012,Argyll and Bute,0.187563161,,,,0.014774044,0.196638814,0.00678622,0.240102883
2012,Clackmannanshire,0.201698092,,,,0.171196112,0.068736478,-0.098397781,0.171597955
2012,Dumfries and Galloway,0.165601837,,,,0.105540747,0.123674212,-0.023936511,0.180131303
2012,Dundee City,0.229875462,,,,0.255653507,0.218442315,-0.059516769,0.244315435
2012,East Ayrshire,0.246135779,,,,0.082424885,0.20379678,-0.086811646,0.254561952
2012,East Dunbartonshire,0.326088981,,,,0.097252964,0.26449342,0.045330126,0.346400568
2012,East Lothian,0.199821079,,,,0.147636079,0.158542575,0.010529215,0.155124031
2012,East Renfrewshire,0.368559519,,,,0.255450969,0.320403059,0.049853276,0.378859138
2012,"Edinburgh, City of",0.369021408,,,,0.221283873,0.347141262,0.090046001,0.378836682
2012,Eilean Siar,0.037469548,,,,-0.019167218,-0.00601077,-0.057005684,0.006116108
2012,Falkirk,0.25334173,,,,0.174197585,0.202241811,-0.126515073,0.204970523
2012,Fife,0.359999622,,,,0.24534248,0.331838652,-0.211406473,0.360838235
2012,Glasgow City,0.198090784,,,,0.167195278,0.20918788,-0.091766064,0.22878275
2012,Highland,0.201181396,,,,0.138372367,0.176331775,-0.078071456,0.228378168
2012,Inverclyde,0.306644127,,,,0.273021843,0.298950207,-0.234573154,0.334318291
2012,Midlothian,0.252140585,,,,0.057326065,0.19012534,-0.120252812,0.247407175
2012,Moray,0.124821346,,,,0.026741392,0.100249971,-0.030155995,0.103232224
2012,North Ayrshire,0.287477155,,,,0.213487946,0.195125796,-0.085366343,0.322267918
2012,North Lanarkshire,0.183922209,,,,0.131327809,0.178124663,-0.034902488,0.182256606
2012,Orkney Islands,0.110367275,,,,0.186163194,0.131950669,-0.144245059,0.123650683
2012,Perth and Kinross,0.256818135,,,,0.228665112,0.209054601,-0.002787801,0.267452386
2012,Renfrewshire,0.29597902,,,,0.291855582,0.28965696,-0.032220538,0.327961572
2012,Scottish Borders,0.22434899,,,,0.112941565,0.137720005,-0.133275704,0.162178556
2012,Shetland Islands,0.082448329,,,,-0.007235198,0.0755498,-0.032792387,0.050457813
2012,South Ayrshire,0.231422952,,,,0.168146801,0.211067102,0.016541279,0.26688792
2012,South Lanarkshire,0.24261549,,,,0.16918235,0.116779285,-0.095525601,0.252290963
2012,Stirling,0.305242829,,,,0.297039548,0.302845714,-0.082262514,0.321624181
2012,West Dunbartonshire,0.183585831,,,,0.134261053,0.115708902,0.004620226,0.191843409
2012,West Lothian,0.182321648,,,,0.176382713,0.145361298,-0.028961226,0.213918974
2013,Aberdeen City,0.317736727,,,0.353484696,,0.332229227,0.042267931,0.291033188
2013,Aberdeenshire,0.285854807,,,0.284002896,,0.200907559,-0.172966928,0.283848066
2013,Angus,0.281616172,,,0.282454967,,0.161680616,-0.019078144,0.269620356
2013,Argyll and Bute,0.189024508,,,0.176181737,,0.191333946,-0.027831614,0.221224676
2013,Clackmannanshire,0.217786339,,,0.233114948,,0.141138733,-0.052913437,0.19605208
