"CPP","Year","Indicator","Type","value"
"Angus","2010/11","Healthy Birthweight","Raw",89.2463235294118
"Dundee City","2010/11","Healthy Birthweight","Raw",90.7004830917874
"East Dunbartonshire","2010/11","Healthy Birthweight","Raw",88.2224645583424
"Fife","2010/11","Healthy Birthweight","Raw",87.717553455992
"Perth and Kinross","2010/11","Healthy Birthweight","Raw",90.4458598726115
"Glasgow City","2010/11","Healthy Birthweight","Raw",89.5602876106195
"North Lanarkshire","2010/11","Healthy Birthweight","Raw",88.3599339570721
"Clackmannanshire","2011/12","Healthy Birthweight","Raw",88.2562277580071
"Dumfries and Galloway","2011/12","Healthy Birthweight","Raw",90.0297619047619
"East Ayrshire","2011/12","Healthy Birthweight","Raw",88.9894419306184
"East Lothian","2011/12","Healthy Birthweight","Raw",90.3470715835141
"East Renfrewshire","2011/12","Healthy Birthweight","Raw",90.0744416873449
"Eilean Siar","2011/12","Healthy Birthweight","Raw",85.3061224489796
"Falkirk","2011/12","Healthy Birthweight","Raw",88.6616014026885
"Highland","2011/12","Healthy Birthweight","Raw",88.8648180242634
"Inverclyde","2011/12","Healthy Birthweight","Raw",89.9470899470899
"Midlothian","2011/12","Healthy Birthweight","Raw",88.2214369846879
"Moray","2011/12","Healthy Birthweight","Raw",88.6946386946387
"North Ayrshire","2011/12","Healthy Birthweight","Raw",88.3369330453564
"Orkney Islands","2011/12","Healthy Birthweight","Raw",85.2040816326531
"Scottish Borders","2011/12","Healthy Birthweight","Raw",89.9795501022495
"Shetland Islands","2011/12","Healthy Birthweight","Raw",89.4957983193277
"South Ayrshire","2011/12","Healthy Birthweight","Raw",89.2462311557789
"South Lanarkshire","2011/12","Healthy Birthweight","Raw",89.2368501064153
"Stirling","2011/12","Healthy Birthweight","Raw",88.2783882783883
"Aberdeen City","2011/12","Healthy Birthweight","Raw",89.9476831091181
"Aberdeenshire","2011/12","Healthy Birthweight","Raw",90.3172641120725
"Argyll and Bute","2011/12","Healthy Birthweight","Raw",89.8591549295775
"Edinburgh, City of","2011/12","Healthy Birthweight","Raw",89.7546897546897
"Renfrewshire","2011/12","Healthy Birthweight","Raw",89.8692810457516
"West Dunbartonshire","2011/12","Healthy Birthweight","Raw",90.1785714285714
"West Lothian","2011/12","Healthy Birthweight","Raw",90.1408450704225
"Angus","2011/12","Healthy Birthweight","Raw",89.4691035683203
"Dundee City","2011/12","Healthy Birthweight","Raw",88.9602803738318
"East Dunbartonshire","2011/12","Healthy Birthweight","Raw",88.7731481481482
"Fife","2011/12","Healthy Birthweight","Raw",88.5375494071146
"Perth and Kinross","2011/12","Healthy Birthweight","Raw",86.9877785765636
"Glasgow City","2011/12","Healthy Birthweight","Raw",89.3841166936791
"North Lanarkshire","2011/12","Healthy Birthweight","Raw",88.1806108897742
"Clackmannanshire","2012/13","Healthy Birthweight","Raw",87.1750433275563
"Dumfries and Galloway","2012/13","Healthy Birthweight","Raw",88.6066204772902
"East Ayrshire","2012/13","Healthy Birthweight","Raw",88.79173290938
"East Lothian","2012/13","Healthy Birthweight","Raw",89.524838012959
"East Renfrewshire","2012/13","Healthy Birthweight","Raw",89.0243902439024
"Eilean Siar","2012/13","Healthy Birthweight","Raw",84.8484848484848
"Falkirk","2012/13","Healthy Birthweight","Raw",89.6278218425869
"Highland","2012/13","Healthy Birthweight","Raw",89.5089285714286
"Inverclyde","2012/13","Healthy Birthweight","Raw",90.1333333333333
"Midlothian","2012/13","Healthy Birthweight","Raw",89.8989898989899
"Moray","2012/13","Healthy Birthweight","Raw",91.6188289322618
"North Ayrshire","2012/13","Healthy Birthweight","Raw",87.7055599060298
"Orkney Islands","2012/13","Healthy Birthweight","Raw",86.0103626943005
"Scottish Borders","2012/13","Healthy Birthweight","Raw",89.1783567134269
"Shetland Islands","2012/13","Healthy Birthweight","Raw",88.0434782608696
"South Ayrshire","2012/13","Healthy Birthweight","Raw",89.6273917421954
"South Lanarkshire","2012/13","Healthy Birthweight","Raw",89.0515595162317
"Stirling","2012/13","Healthy Birthweight","Raw",88.4517766497462
"Aberdeen City","2012/13","Healthy Birthweight","Raw",89.8373983739837
"Aberdeenshire","2012/13","Healthy Birthweight","Raw",89.1881028938907
"Argyll and Bute","2012/13","Healthy Birthweight","Raw",88.7323943661972
"Edinburgh, City of","2012/13","Healthy Birthweight","Raw",90.0780379041249
"Renfrewshire","2012/13","Healthy Birthweight","Raw",89.3409742120344
"West Dunbartonshire","2012/13","Healthy Birthweight","Raw",88.6203423967774
"West Lothian","2012/13","Healthy Birthweight","Raw",89.5101171458999
"Angus","2012/13","Healthy Birthweight","Raw",88.7170154686078
"Dundee City","2012/13","Healthy Birthweight","Raw",90.8373786407767
"East Dunbartonshire","2012/13","Healthy Birthweight","Raw",89.9543378995434
"Fife","2012/13","Healthy Birthweight","Raw",88.3935637035083
"Perth and Kinross","2012/13","Healthy Birthweight","Raw",90.4376012965964
"Glasgow City","2012/13","Healthy Birthweight","Raw",88.7383114243122
"North Lanarkshire","2012/13","Healthy Birthweight","Raw",89.3687707641196
"Clackmannanshire","2013/14","Healthy Birthweight","Raw",90.3288201160542
"Dumfries and Galloway","2013/14","Healthy Birthweight","Raw",90.8212560386473
"East Ayrshire","2013/14","Healthy Birthweight","Raw",89.5076674737692
"East Lothian","2013/14","Healthy Birthweight","Raw",90.391061452514
"East Renfrewshire","2013/14","Healthy Birthweight","Raw",86.7730900798176
"Eilean Siar","2013/14","Healthy Birthweight","Raw",90.0826446280992
"Falkirk","2013/14","Healthy Birthweight","Raw",89.3382352941177
"Highland","2013/14","Healthy Birthweight","Raw",89.5124195032199
"Inverclyde","2013/14","Healthy Birthweight","Raw",92.8077455048409
"Midlothian","2013/14","Healthy Birthweight","Raw",89.1803278688525
"Moray","2013/14","Healthy Birthweight","Raw",89.7435897435898
"North Ayrshire","2013/14","Healthy Birthweight","Raw",89.1129032258064
"Orkney Islands","2013/14","Healthy Birthweight","Raw",91.1111111111111
"Scottish Borders","2013/14","Healthy Birthweight","Raw",89.7435897435898
"Shetland Islands","2013/14","Healthy Birthweight","Raw",90.7894736842105
"South Ayrshire","2013/14","Healthy Birthweight","Raw",88.9237199582027
"South Lanarkshire","2013/14","Healthy Birthweight","Raw",90.3446033810143
"Stirling","2013/14","Healthy Birthweight","Raw",87.7450980392157
"Aberdeen City","2013/14","Healthy Birthweight","Raw",90.1852581789515
"Aberdeenshire","2013/14","Healthy Birthweight","Raw",89.5719844357977
"Argyll and Bute","2013/14","Healthy Birthweight","Raw",86.046511627907
"Edinburgh, City of","2013/14","Healthy Birthweight","Raw",90.8144958736993
"Renfrewshire","2013/14","Healthy Birthweight","Raw",89.1764705882353
"West Dunbartonshire","2013/14","Healthy Birthweight","Raw",87.089715536105
"West Lothian","2013/14","Healthy Birthweight","Raw",90.8174097664543
"Angus","2013/14","Healthy Birthweight","Raw",89.5454545454545
"Dundee City","2013/14","Healthy Birthweight","Raw",90.150032615786
"East Dunbartonshire","2013/14","Healthy Birthweight","Raw",87.8125
"Fife","2013/14","Healthy Birthweight","Raw",88.2290562036055
"Perth and Kinross","2013/14","Healthy Birthweight","Raw",88.5556432517758
"Glasgow City","2013/14","Healthy Birthweight","Raw",89.6694214876033
"North Lanarkshire","2013/14","Healthy Birthweight","Raw",89.7301762114538
"Clackmannanshire","2014/15","Healthy Birthweight","Raw",88.8675623800384
"Dumfries and Galloway","2014/15","Healthy Birthweight","Raw",91.2933220625528
"East Ayrshire","2014/15","Healthy Birthweight","Raw",89.5920066611157
"East Lothian","2014/15","Healthy Birthweight","Raw",90.1522842639594
"East Renfrewshire","2014/15","Healthy Birthweight","Raw",88.05256869773
"Eilean Siar","2014/15","Healthy Birthweight","Raw",87.4371859296482
"Falkirk","2014/15","Healthy Birthweight","Raw",89.7513644633111
"Highland","2014/15","Healthy Birthweight","Raw",88.559708295351
"Inverclyde","2014/15","Healthy Birthweight","Raw",90.1875901875902
"Midlothian","2014/15","Healthy Birthweight","Raw",89.7177419354839
"Moray","2014/15","Healthy Birthweight","Raw",90.0237529691211
"North Ayrshire","2014/15","Healthy Birthweight","Raw",89.2568659127625
"Orkney Islands","2014/15","Healthy Birthweight","Raw",91.1764705882353
"Scottish Borders","2014/15","Healthy Birthweight","Raw",89.7522522522522
"Shetland Islands","2014/15","Healthy Birthweight","Raw",88.4297520661157
"South Ayrshire","2014/15","Healthy Birthweight","Raw",89.4995093228655
