"value","Year","IZCode","IZName","CPP","Indicator","Type"
6.11,"2011/12-2013/14","S02001841","Newport and Wormit","Fife","Attainment","Raw"
5.72,"2011/12-2013/14","S02001840","Tayport","Fife","Attainment","Raw"
5.43,"2011/12-2013/14","S02001843","Darnley North","Glasgow City","Attainment","Raw"
5.24,"2011/12-2013/14","S02001842","Darnley East","Glasgow City","Attainment","Raw"
6.25,"2011/12-2013/14","S02001837","St Andrews North and Strathkinness","Fife","Attainment","Raw"
5.92,"2011/12-2013/14","S02001836","St Andrews South West","Fife","Attainment","Raw"
5.87,"2011/12-2013/14","S02001839","Balmullo and Gauldry","Fife","Attainment","Raw"
5.46,"2011/12-2013/14","S02001838","Leuchars and Guardbridge","Fife","Attainment","Raw"
5.01,"2011/12-2013/14","S02001849","Pollok North and East","Glasgow City","Attainment","Raw"
5.77,"2011/12-2013/14","S02001848","Pollok South and West","Glasgow City","Attainment","Raw"
5.16,"2011/12-2013/14","S02001851","Cardonald North","Glasgow City","Attainment","Raw"
5.33,"2011/12-2013/14","S02001850","Cardonald South and East","Glasgow City","Attainment","Raw"
4.95,"2011/12-2013/14","S02001845","Nitshill","Glasgow City","Attainment","Raw"
5.75,"2011/12-2013/14","S02001844","Darnley West","Glasgow City","Attainment","Raw"
5.13,"2011/12-2013/14","S02001847","Crookston North","Glasgow City","Attainment","Raw"
4.75,"2011/12-2013/14","S02001846","Crookston South","Glasgow City","Attainment","Raw"
5.26,"2011/12-2013/14","S02001825","Newburgh","Fife","Attainment","Raw"
5.41,"2011/12-2013/14","S02001824","Auchtermuchty and Gateside","Fife","Attainment","Raw"
5.19,"2011/12-2013/14","S02001827","Cupar Central","Fife","Attainment","Raw"
5.77,"2011/12-2013/14","S02001826","Cupar West and Springfield","Fife","Attainment","Raw"
5.05,"2011/12-2013/14","S02001821","Kennoway and Bonnybank","Fife","Attainment","Raw"
5.78,"2011/12-2013/14","S02001820","Largo","Fife","Attainment","Raw"
5.73,"2011/12-2013/14","S02001823","Falkland and Freuchie","Fife","Attainment","Raw"
5.46,"2011/12-2013/14","S02001822","Kettle and Ladybank","Fife","Attainment","Raw"
5.97,"2011/12-2013/14","S02001833","Crail and Boarhills","Fife","Attainment","Raw"
5.43,"2011/12-2013/14","S02001832","Anstruther","Fife","Attainment","Raw"
5.41,"2011/12-2013/14","S02001835","St Andrews Central","Fife","Attainment","Raw"
5.3,"2011/12-2013/14","S02001834","St Andrews South East","Fife","Attainment","Raw"
5.98,"2011/12-2013/14","S02001829","Dairsie Ceres and Dunino","Fife","Attainment","Raw"
5.65,"2011/12-2013/14","S02001828","Cupar East","Fife","Attainment","Raw"
5.39,"2011/12-2013/14","S02001831","St Monans and Pittenweem","Fife","Attainment","Raw"
5.8,"2011/12-2013/14","S02001830","Elie Colinsburgh and Largoward","Fife","Attainment","Raw"
5.63,"2011/12-2013/14","S02001873","Pollokshaws","Glasgow City","Attainment","Raw"
6.08,"2011/12-2013/14","S02001872","Langside","Glasgow City","Attainment","Raw"
5.34,"2011/12-2013/14","S02001875","Carnwadric East","Glasgow City","Attainment","Raw"
5.3,"2011/12-2013/14","S02001874","Carnwadric West","Glasgow City","Attainment","Raw"
5.9,"2011/12-2013/14","S02001869","Maxwell Park","Glasgow City","Attainment","Raw"
5.12,"2011/12-2013/14","S02001868","Strathbungo","Glasgow City","Attainment","Raw"
5.94,"2011/12-2013/14","S02001871","Shawlands East","Glasgow City","Attainment","Raw"
5.52,"2011/12-2013/14","S02001870","Shawlands West","Glasgow City","Attainment","Raw"
5.1,"2011/12-2013/14","S02001881","Glenwood South","Glasgow City","Attainment","Raw"
5.21,"2011/12-2013/14","S02001880","Carmunnock South","Glasgow City","Attainment","Raw"
5.28,"2011/12-2013/14","S02001883","Castlemilk","Glasgow City","Attainment","Raw"
5.15,"2011/12-2013/14","S02001882","Glenwood North","Glasgow City","Attainment","Raw"
5.61,"2011/12-2013/14","S02001877","Merrylee and Millbrae","Glasgow City","Attainment","Raw"
5.7,"2011/12-2013/14","S02001876","Newlands","Glasgow City","Attainment","Raw"
5.89,"2011/12-2013/14","S02001879","Carmunnock North","Glasgow City","Attainment","Raw"
5.94,"2011/12-2013/14","S02001878","Muirend and Old Cathcart","Glasgow City","Attainment","Raw"
5,"2011/12-2013/14","S02001857","Craigton","Glasgow City","Attainment","Raw"
5.05,"2011/12-2013/14","S02001856","Govan and Linthouse","Glasgow City","Attainment","Raw"
4.68,"2011/12-2013/14","S02001859","Ibrox","Glasgow City","Attainment","Raw"
5.44,"2011/12-2013/14","S02001858","Mosspark","Glasgow City","Attainment","Raw"
5.06,"2011/12-2013/14","S02001853","Penilee","Glasgow City","Attainment","Raw"
5.62,"2011/12-2013/14","S02001852","Cardonald West and Central","Glasgow City","Attainment","Raw"
5.2,"2011/12-2013/14","S02001855","Drumoyne and Shieldhall","Glasgow City","Attainment","Raw"
5.12,"2011/12-2013/14","S02001854","Hillington","Glasgow City","Attainment","Raw"
4.79,"2011/12-2013/14","S02001865","Govanhill West","Glasgow City","Attainment","Raw"
5.53,"2011/12-2013/14","S02001864","Pollokshields East","Glasgow City","Attainment","Raw"
5.68,"2011/12-2013/14","S02001867","Battlefield","Glasgow City","Attainment","Raw"
5.02,"2011/12-2013/14","S02001866","Govanhill East and Aikenhead","Glasgow City","Attainment","Raw"
5.32,"2011/12-2013/14","S02001861","Kinning Park and Festival Park","Glasgow City","Attainment","Raw"
4.85,"2011/12-2013/14","S02001860","Ibrox East and Cessnock","Glasgow City","Attainment","Raw"
5.42,"2011/12-2013/14","S02001863","Pollokshields West","Glasgow City","Attainment","Raw"
5.27,"2011/12-2013/14","S02001862","Kingston West and Dumbreck","Glasgow City","Attainment","Raw"
5.21,"2011/12-2013/14","S02001778","Lochgelly West and Lumphinnans","Fife","Attainment","Raw"
5.18,"2011/12-2013/14","S02001777","Lochgelly East","Fife","Attainment","Raw"
5.24,"2011/12-2013/14","S02001780","Burntisland West","Fife","Attainment","Raw"
6.06,"2011/12-2013/14","S02001779","Aberdour and Auchtertool","Fife","Attainment","Raw"
4.99,"2011/12-2013/14","S02001774","Lochore and Crosshill","Fife","Attainment","Raw"
5.49,"2011/12-2013/14","S02001773","Kelty East","Fife","Attainment","Raw"
5,"2011/12-2013/14","S02001776","Cardenden","Fife","Attainment","Raw"
4.82,"2011/12-2013/14","S02001775","Ballingry","Fife","Attainment","Raw"
5.09,"2011/12-2013/14","S02001786","Kirkcaldy Bennochy West","Fife","Attainment","Raw"
5.53,"2011/12-2013/14","S02001785","Kirkcaldy Bennochy East","Fife","Attainment","Raw"
5.48,"2011/12-2013/14","S02001788","Kirkcaldy Newliston and Redcraigs","Fife","Attainment","Raw"
5.98,"2011/12-2013/14","S02001787","Kirkcaldy Raith","Fife","Attainment","Raw"
5.72,"2011/12-2013/14","S02001782","Kinghorn","Fife","Attainment","Raw"
5.76,"2011/12-2013/14","S02001781","Burntisland East","Fife","Attainment","Raw"
5.72,"2011/12-2013/14","S02001784","Kirkcaldy Central","Fife","Attainment","Raw"
5.28,"2011/12-2013/14","S02001783","Kirkcaldy Linktown & Seafield","Fife","Attainment","Raw"
5.02,"2011/12-2013/14","S02001762","Rosyth South","Fife","Attainment","Raw"
5.03,"2011/12-2013/14","S02001761","Rosyth Central","Fife","Attainment","Raw"
5.17,"2011/12-2013/14","S02001764","Inverkeithing East","Fife","Attainment","Raw"
5.43,"2011/12-2013/14","S02001763","North Queensferry and Inverkeithing West","Fife","Attainment","Raw"
5.73,"2011/12-2013/14","S02001758","Dunfermline Pitcorthie West","Fife","Attainment","Raw"
5.83,"2011/12-2013/14","S02001757","Dunfermline Pitcorthie East","Fife","Attainment","Raw"
4.98,"2011/12-2013/14","S02001760","Rosyth East","Fife","Attainment","Raw"
5.3,"2011/12-2013/14","S02001759","Rosyth North","Fife","Attainment","Raw"
5.11,"2011/12-2013/14","S02001770","Cowdenbeath South","Fife","Attainment","Raw"
4.93,"2011/12-2013/14","S02001769","Hill of Beath and Kingseat","Fife","Attainment","Raw"
4.89,"2011/12-2013/14","S02001772","Kelty West","Fife","Attainment","Raw"
5.32,"2011/12-2013/14","S02001771","Cowdenbeath North","Fife","Attainment","Raw"
6.06,"2011/12-2013/14","S02001766","Dalgety Bay Central","Fife","Attainment","Raw"
6.17,"2011/12-2013/14","S02001765","Dalgety Bay West and Hillend","Fife","Attainment","Raw"
5.63,"2011/12-2013/14","S02001768","Crossgates and Halbeath","Fife","Attainment","Raw"
6,"2011/12-2013/14","S02001767","Dalgety Bay East","Fife","Attainment","Raw"
5.15,"2011/12-2013/14","S02001809","Glenrothes Cadham and Pitcoudie","Fife","Attainment","Raw"
4.69,"2011/12-2013/14","S02001808","Glenrothes Collydean","Fife","Attainment","Raw"
5.83,"2011/12-2013/14","S02001811","Markinch and Star","Fife","Attainment","Raw"
5.4,"2011/12-2013/14","S02001810","Glenrothes Balfarg Pitcairn and Coul","Fife","Attainment","Raw"
5.42,"2011/12-2013/14","S02001805","Glenrothes Pitteuchar","Fife","Attainment","Raw"
5.6,"2011/12-2013/14","S02001804","Glenrothes Stenton and Finglassie","Fife","Attainment","Raw"
5.9,"2011/12-2013/14","S02001807","Glenrothes Balgeddie and Town Park","Fife","Attainment","Raw"
5.18,"2011/12-2013/14","S02001806","Glenrothes Woodside","Fife","Attainment","Raw"
5.48,"2011/12-2013/14","S02001817","Leven East","Fife","Attainment","Raw"
4.62,"2011/12-2013/14","S02001816","Methil East","Fife","Attainment","Raw"
5.27,"2011/12-2013/14","S02001819","Leven North","Fife","Attainment","Raw"
5.09,"2011/12-2013/14","S02001818","Leven West","Fife","Attainment","Raw"
4.93,"2011/12-2013/14","S02001813","Buckhaven, Denbeath and Muiredge","Fife","Attainment","Raw"
5.61,"2011/12-2013/14","S02001812","Windygates and Coaltown","Fife","Attainment","Raw"
4.52,"2011/12-2013/14","S02001815","Methil West","Fife","Attainment","Raw"
4.77,"2011/12-2013/14","S02001814","Methil Methilhill","Fife","Attainment","Raw"
5.87,"2011/12-2013/14","S02001794","Kirkcaldy Pathhead","Fife","Attainment","Raw"
4.6,"2011/12-2013/14","S02001793","Kirkcaldy Hayfield and Smeaton","Fife","Attainment","Raw"
5.19,"2011/12-2013/14","S02001796","Dysart","Fife","Attainment","Raw"
5.03,"2011/12-2013/14","S02001795","Kirkcaldy Gallatown and Sinclairtown","Fife","Attainment","Raw"
4.87,"2011/12-2013/14","S02001790","Kirkcaldy Templehall East","Fife","Attainment","Raw"
5.08,"2011/12-2013/14","S02001789","Kirkcaldy Templehall West","Fife","Attainment","Raw"
5.45,"2011/12-2013/14","S02001792","Kirkcaldy Chapel","Fife","Attainment","Raw"
5.73,"2011/12-2013/14","S02001791","Kirkcaldy Dunnikier","Fife","Attainment","Raw"
5.41,"2011/12-2013/14","S02001801","Glenrothes South Parks","Fife","Attainment","Raw"
4.73,"2011/12-2013/14","S02001800","Glenrothes Macedonia and Tanshall","Fife","Attainment","Raw"
4.75,"2011/12-2013/14","S02001803","Glenrothes Auchmuty","Fife","Attainment","Raw"
5.05,"2011/12-2013/14","S02001802","Glenrothes Caskieberran and Rimbleton","Fife","Attainment","Raw"
5.07,"2011/12-2013/14","S02001798","Thornton and Kinglassie","Fife","Attainment","Raw"
5.34,"2011/12-2013/14","S02001797","Wemyss","Fife","Attainment","Raw"
5.1,"2011/12-2013/14","S02001799","Leslie and Newcastle","Fife","Attainment","Raw"
5.28,"2011/12-2013/14","S02001968","Knightswood Park West","Glasgow City","Attainment","Raw"
5.07,"2011/12-2013/14","S02001967","Knightswood East","Glasgow City","Attainment","Raw"
5.91,"2011/12-2013/14","S02001970","Anniesland East","Glasgow City","Attainment","Raw"
5.22,"2011/12-2013/14","S02001969","Knightswood Park East","Glasgow City","Attainment","Raw"
4.84,"2011/12-2013/14","S02001964","Yoker South","Glasgow City","Attainment","Raw"
4.88,"2011/12-2013/14","S02001963","Scotstoun South and West","Glasgow City","Attainment","Raw"
5.22,"2011/12-2013/14","S02001966","Knightswood West","Glasgow City","Attainment","Raw"
5.41,"2011/12-2013/14","S02001965","Yoker North","Glasgow City","Attainment","Raw"
4.41,"2011/12-2013/14","S02001976","Drumry East","Glasgow City","Attainment","Raw"
4.56,"2011/12-2013/14","S02001975","Drumchapel North","Glasgow City","Attainment","Raw"
5.77,"2011/12-2013/14","S02001978","Lochaber West","Highland","Attainment","Raw"
4.83,"2011/12-2013/14","S02001977","Drumry West","Glasgow City","Attainment","Raw"
4.96,"2011/12-2013/14","S02001972","Blairdardie East","Glasgow City","Attainment","Raw"
5.15,"2011/12-2013/14","S02001971","Anniesland West","Glasgow City","Attainment","Raw"
4.86,"2011/12-2013/14","S02001974","Drumchapel South","Glasgow City","Attainment","Raw"
5.49,"2011/12-2013/14","S02001973","Blairdardie West","Glasgow City","Attainment","Raw"
5.92,"2011/12-2013/14","S02001952","Kelvingrove and University","Glasgow City","Attainment","Raw"
5.66,"2011/12-2013/14","S02001951","North Kelvin","Glasgow City","Attainment","Raw"
5.03,"2011/12-2013/14","S02001954","Glasgow Harbour and Partick South","Glasgow City","Attainment","Raw"
5.36,"2011/12-2013/14","S02001953","Hillhead","Glasgow City","Attainment","Raw"
5.13,"2011/12-2013/14","S02001948","Maryhill West","Glasgow City","Attainment","Raw"
4.99,"2011/12-2013/14","S02001947","Maryhill East","Glasgow City","Attainment","Raw"
6.14,"2011/12-2013/14","S02001950","Kelvindale","Glasgow City","Attainment","Raw"
5.13,"2011/12-2013/14","S02001949","Wyndford","Glasgow City","Attainment","Raw"
6.16,"2011/12-2013/14","S02001960","Victoria Park","Glasgow City","Attainment","Raw"
6.05,"2011/12-2013/14","S02001959","Broomhill","Glasgow City","Attainment","Raw"
5.7,"2011/12-2013/14","S02001962","Scotstoun North and East","Glasgow City","Attainment","Raw"
4.81,"2011/12-2013/14","S02001961","Whiteinch","Glasgow City","Attainment","Raw"
6.12,"2011/12-2013/14","S02001956","Partickhill and Hyndland","Glasgow City","Attainment","Raw"
5.48,"2011/12-2013/14","S02001955","Partick","Glasgow City","Attainment","Raw"
6.29,"2011/12-2013/14","S02001958","Kelvinside and Jordanhill","Glasgow City","Attainment","Raw"
6.23,"2011/12-2013/14","S02001957","Dowanhill","Glasgow City","Attainment","Raw"
5.91,"2011/12-2013/14","S02001999","Inverness Crown and Haugh","Highland","Attainment","Raw"
5.32,"2011/12-2013/14","S02001998","Inverness Central, Raigmore and Longman","Highland","Attainment","Raw"
5.69,"2011/12-2013/14","S02002001","Inverness Muirtown","Highland","Attainment","Raw"
4.88,"2011/12-2013/14","S02002000","Inverness Ballifeary and Dalneigh","Highland","Attainment","Raw"
5.4,"2011/12-2013/14","S02001995","Inverness Drummond","Highland","Attainment","Raw"
5.94,"2011/12-2013/14","S02001994","Inverness Lochardil and Holm Mains","Highland","Attainment","Raw"
6.01,"2011/12-2013/14","S02001997","Inverness Drakies","Highland","Attainment","Raw"
5.22,"2011/12-2013/14","S02001996","Inverness Hilton","Highland","Attainment","Raw"
5.8,"2011/12-2013/14","S02002007","Lochalsh","Highland","Attainment","Raw"
5.76,"2011/12-2013/14","S02002006","Loch Ness","Highland","Attainment","Raw"
5.69,"2011/12-2013/14","S02002009","Skye North East","Highland","Attainment","Raw"
5.81,"2011/12-2013/14","S02002008","Skye South","Highland","Attainment","Raw"
5.54,"2011/12-2013/14","S02002003","Inverness Scorguie","Highland","Attainment","Raw"
4.35,"2011/12-2013/14","S02002002","Inverness Merkinch","Highland","Attainment","Raw"
5.68,"2011/12-2013/14","S02002005","Inverness West Rural","Highland","Attainment","Raw"
5.49,"2011/12-2013/14","S02002004","Inverness Kinmylies and South West","Highland","Attainment","Raw"
5.66,"2011/12-2013/14","S02001984","Badenoch and Strathspey North","Highland","Attainment","Raw"
5.47,"2011/12-2013/14","S02001983","Badenoch and Strathspey Central","Highland","Attainment","Raw"
5.13,"2011/12-2013/14","S02001986","Nairn East","Highland","Attainment","Raw"
5.64,"2011/12-2013/14","S02001985","Nairn Rural","Highland","Attainment","Raw"
5.46,"2011/12-2013/14","S02001980","Fort William South","Highland","Attainment","Raw"
5.39,"2011/12-2013/14","S02001979","Fort William North","Highland","Attainment","Raw"
5.57,"2011/12-2013/14","S02001982","Badenoch and Strathspey South","Highland","Attainment","Raw"
5.61,"2011/12-2013/14","S02001981","Lochaber East and North","Highland","Attainment","Raw"
5.65,"2011/12-2013/14","S02001991","Inverness Westhill","Highland","Attainment","Raw"
5.31,"2011/12-2013/14","S02001990","Inverness Smithton","Highland","Attainment","Raw"
5.86,"2011/12-2013/14","S02001993","Inverness Slackbuie","Highland","Attainment","Raw"
5.74,"2011/12-2013/14","S02001992","Inverness Inshes","Highland","Attainment","Raw"
5.48,"2011/12-2013/14","S02001988","Inverness East Rural","Highland","Attainment","Raw"
5.48,"2011/12-2013/14","S02001987","Nairn West","Highland","Attainment","Raw"
5.62,"2011/12-2013/14","S02001989","Inverness Culloden and Balloch","Highland","Attainment","Raw"
4.7,"2011/12-2013/14","S02001905","Central Easterhouse","Glasgow City","Attainment","Raw"
4.82,"2011/12-2013/14","S02001904","Easterhouse East","Glasgow City","Attainment","Raw"
4.61,"2011/12-2013/14","S02001907","North Barlanark and Easterhouse South","Glasgow City","Attainment","Raw"
5.17,"2011/12-2013/14","S02001906","Garthamlock, Auchinlea and Gartloch","Glasgow City","Attainment","Raw"
5.39,"2011/12-2013/14","S02001901","Baillieston East","Glasgow City","Attainment","Raw"
5.12,"2011/12-2013/14","S02001900","Baillieston West","Glasgow City","Attainment","Raw"
5.66,"2011/12-2013/14","S02001903","Garrowhill East and Swinton","Glasgow City","Attainment","Raw"
5.58,"2011/12-2013/14","S02001902","Garrowhill West","Glasgow City","Attainment","Raw"
5.38,"2011/12-2013/14","S02001913","Carntyne","Glasgow City","Attainment","Raw"
4.77,"2011/12-2013/14","S02001912","Old Shettleston and Parkhead North","Glasgow City","Attainment","Raw"
4.81,"2011/12-2013/14","S02001915","Craigend and Ruchazie","Glasgow City","Attainment","Raw"
4.89,"2011/12-2013/14","S02001914","Cranhill, Lightburn and Queenslie South","Glasgow City","Attainment","Raw"
5.35,"2011/12-2013/14","S02001909","Greenfield","Glasgow City","Attainment","Raw"
4.9,"2011/12-2013/14","S02001908","Barlanark","Glasgow City","Attainment","Raw"
4.9,"2011/12-2013/14","S02001911","Tollcross","Glasgow City","Attainment","Raw"
5.25,"2011/12-2013/14","S02001910","Shettleston North","Glasgow City","Attainment","Raw"
4.87,"2011/12-2013/14","S02001889","Gorbals and Hutchesontown","Glasgow City","Attainment","Raw"
5.09,"2011/12-2013/14","S02001888","Toryglen and Oatlands","Glasgow City","Attainment","Raw"
4.86,"2011/12-2013/14","S02001891","Calton and Gallowgate","Glasgow City","Attainment","Raw"
4.59,"2011/12-2013/14","S02001890","Laurieston and Tradeston","Glasgow City","Attainment","Raw"
5.6,"2011/12-2013/14","S02001885","Kingspark North","Glasgow City","Attainment","Raw"
5.19,"2011/12-2013/14","S02001884","Kingspark South","Glasgow City","Attainment","Raw"
5.68,"2011/12-2013/14","S02001887","Mount Florida","Glasgow City","Attainment","Raw"
5.81,"2011/12-2013/14","S02001886","Cathcart","Glasgow City","Attainment","Raw"
5.79,"2011/12-2013/14","S02001897","Shettleston South","Glasgow City","Attainment","Raw"
5.05,"2011/12-2013/14","S02001896","Braidfauld","Glasgow City","Attainment","Raw"
5.82,"2011/12-2013/14","S02001899","Mount Vernon North and Sandyhills","Glasgow City","Attainment","Raw"
5.37,"2011/12-2013/14","S02001898","Carmyle and Mount Vernon South","Glasgow City","Attainment","Raw"
4.96,"2011/12-2013/14","S02001893","Dalmarnock","Glasgow City","Attainment","Raw"
4.7,"2011/12-2013/14","S02001892","Bridgeton","Glasgow City","Attainment","Raw"
4.92,"2011/12-2013/14","S02001895","Parkhead East and Braidfauld North","Glasgow City","Attainment","Raw"
4.67,"2011/12-2013/14","S02001894","Parkhead West and Barrowfield","Glasgow City","Attainment","Raw"
5.25,"2011/12-2013/14","S02001936","Finnieston and Kelvinhaugh","Glasgow City","Attainment","Raw"
5.2,"2011/12-2013/14","S02001935","Anderston","Glasgow City","Attainment","Raw"
5.43,"2011/12-2013/14","S02001938","Woodside","Glasgow City","Attainment","Raw"
5.61,"2011/12-2013/14","S02001937","Woodlands","Glasgow City","Attainment","Raw"
4.96,"2011/12-2013/14","S02001932","City Centre East","Glasgow City","Attainment","Raw"
4.85,"2011/12-2013/14","S02001931","Gallowgate North and Bellgrove","Glasgow City","Attainment","Raw"
3.89,"2011/12-2013/14","S02001934","City Centre South","Glasgow City","Attainment","Raw"
5.29,"2011/12-2013/14","S02001933","City Centre West","Glasgow City","Attainment","Raw"
4.94,"2011/12-2013/14","S02001944","Milton East","Glasgow City","Attainment","Raw"
4.97,"2011/12-2013/14","S02001943","Milton West","Glasgow City","Attainment","Raw"
5.27,"2011/12-2013/14","S02001946","Summerston North","Glasgow City","Attainment","Raw"
5.55,"2011/12-2013/14","S02001945","Summerston Central and West","Glasgow City","Attainment","Raw"
4.8,"2011/12-2013/14","S02001940","Keppochhill","Glasgow City","Attainment","Raw"
5.4,"2011/12-2013/14","S02001939","Firhill","Glasgow City","Attainment","Raw"
4.88,"2011/12-2013/14","S02001942","Possil Park","Glasgow City","Attainment","Raw"
5.34,"2011/12-2013/14","S02001941","Ruchill","Glasgow City","Attainment","Raw"
5.05,"2011/12-2013/14","S02001921","Petershill","Glasgow City","Attainment","Raw"
5.24,"2011/12-2013/14","S02001920","Barmulloch","Glasgow City","Attainment","Raw"
5.09,"2011/12-2013/14","S02001923","Springburn East and Cowlairs","Glasgow City","Attainment","Raw"
5.01,"2011/12-2013/14","S02001922","Springburn","Glasgow City","Attainment","Raw"
5.09,"2011/12-2013/14","S02001917","Blackhill and Barmulloch East","Glasgow City","Attainment","Raw"
4.97,"2011/12-2013/14","S02001916","Riddrie and Hogganfield","Glasgow City","Attainment","Raw"
5.17,"2011/12-2013/14","S02001919","Balornock","Glasgow City","Attainment","Raw"
5.69,"2011/12-2013/14","S02001918","Robroyston and Millerston","Glasgow City","Attainment","Raw"
5.16,"2011/12-2013/14","S02001928","Alexandra Parade","Glasgow City","Attainment","Raw"
5.36,"2011/12-2013/14","S02001927","Dennistoun North","Glasgow City","Attainment","Raw"
5.22,"2011/12-2013/14","S02001930","Dennistoun","Glasgow City","Attainment","Raw"
4.96,"2011/12-2013/14","S02001929","Carntyne West and Haghill","Glasgow City","Attainment","Raw"
5.58,"2011/12-2013/14","S02001925","Sighthill","Glasgow City","Attainment","Raw"
4.71,"2011/12-2013/14","S02001924","Cowlairs and Port Dundas","Glasgow City","Attainment","Raw"
5.28,"2011/12-2013/14","S02001926","Roystonhill, Blochairn, and Provanmill","Glasgow City","Attainment","Raw"
5.46,"2011/12-2013/14","S02001589","Slateford and Chesser","Edinburgh, City of","Attainment","Raw"
5.39,"2011/12-2013/14","S02001588","Longstone and Saughton","Edinburgh, City of","Attainment","Raw"
5.13,"2011/12-2013/14","S02001591","Gorgie East","Edinburgh, City of","Attainment","Raw"
5.16,"2011/12-2013/14","S02001590","Gorgie West","Edinburgh, City of","Attainment","Raw"
5.26,"2011/12-2013/14","S02001585","Parkhead and Sighthill","Edinburgh, City of","Attainment","Raw"
4.9,"2011/12-2013/14","S02001584","Murrayburn and Wester Hailes North","Edinburgh, City of","Attainment","Raw"
4.73,"2011/12-2013/14","S02001587","Stenhouse and Saughton Mains","Edinburgh, City of","Attainment","Raw"
4.79,"2011/12-2013/14","S02001586","Broomhouse and Bankhead","Edinburgh, City of","Attainment","Raw"
5.33,"2011/12-2013/14","S02001597","Oxgangs","Edinburgh, City of","Attainment","Raw"
5.39,"2011/12-2013/14","S02001596","Colinton Mains and Firrhill","Edinburgh, City of","Attainment","Raw"
6.2,"2011/12-2013/14","S02001599","Fairmilehead","Edinburgh, City of","Attainment","Raw"
6.16,"2011/12-2013/14","S02001598","Comiston and Swanston","Edinburgh, City of","Attainment","Raw"
6.16,"2011/12-2013/14","S02001593","Craiglockhart","Edinburgh, City of","Attainment","Raw"
6.05,"2011/12-2013/14","S02001592","Shandon","Edinburgh, City of","Attainment","Raw"
6.38,"2011/12-2013/14","S02001595","Greenbank and The Braids","Edinburgh, City of","Attainment","Raw"
6.1,"2011/12-2013/14","S02001594","Morningside and Craighouse","Edinburgh, City of","Attainment","Raw"
6.4,"2011/12-2013/14","S02001573","Lower Whitecraigs and South Giffnock","East Renfrewshire","Attainment","Raw"
6.28,"2011/12-2013/14","S02001572","Merrylee and Braidbar","East Renfrewshire","Attainment","Raw"
6.02,"2011/12-2013/14","S02001575","South Thornliebank and Woodfarm","East Renfrewshire","Attainment","Raw"
6.15,"2011/12-2013/14","S02001574","North Giffnock and North Thornliebank","East Renfrewshire","Attainment","Raw"
6.32,"2011/12-2013/14","S02001569","Williamwood","East Renfrewshire","Attainment","Raw"
6.36,"2011/12-2013/14","S02001568","Clarkston and Sheddens","East Renfrewshire","Attainment","Raw"
6.28,"2011/12-2013/14","S02001571","Netherlee","East Renfrewshire","Attainment","Raw"
6.23,"2011/12-2013/14","S02001570","Stamperland","East Renfrewshire","Attainment","Raw"
6.03,"2011/12-2013/14","S02001581","Colinton and Kingsknowe","Edinburgh, City of","Attainment","Raw"
6.4,"2011/12-2013/14","S02001580","Bonaly and The Pentlands","Edinburgh, City of","Attainment","Raw"
4.92,"2011/12-2013/14","S02001583","The Calders","Edinburgh, City of","Attainment","Raw"
4.68,"2011/12-2013/14","S02001582","Clovenstone and Wester Hailes","Edinburgh, City of","Attainment","Raw"
5.8,"2011/12-2013/14","S02001577","Currie West","Edinburgh, City of","Attainment","Raw"
5.98,"2011/12-2013/14","S02001576","Balerno and Bonnington Village","Edinburgh, City of","Attainment","Raw"
6.07,"2011/12-2013/14","S02001579","Baberton and Juniper Green","Edinburgh, City of","Attainment","Raw"
5.9,"2011/12-2013/14","S02001578","Currie East","Edinburgh, City of","Attainment","Raw"
5.1,"2011/12-2013/14","S02001620","Tollcross","Edinburgh, City of","Attainment","Raw"
5.11,"2011/12-2013/14","S02001619","Dalry and Fountainbridge","Edinburgh, City of","Attainment","Raw"
5.41,"2011/12-2013/14","S02001622","Old Town, Princes Street and Leith Street","Edinburgh, City of","Attainment","Raw"
5.88,"2011/12-2013/14","S02001621","Meadows and Southside","Edinburgh, City of","Attainment","Raw"
6.32,"2011/12-2013/14","S02001616","Merchiston and Greenhill","Edinburgh, City of","Attainment","Raw"
6.23,"2011/12-2013/14","S02001615","Morningside","Edinburgh, City of","Attainment","Raw"
6,"2011/12-2013/14","S02001618","Polwarth","Edinburgh, City of","Attainment","Raw"
6.32,"2011/12-2013/14","S02001617","Bruntsfield","Edinburgh, City of","Attainment","Raw"
4.61,"2011/12-2013/14","S02001628","Niddrie","Edinburgh, City of","Attainment","Raw"
4.42,"2011/12-2013/14","S02001627","Craigmillar","Edinburgh, City of","Attainment","Raw"
5.42,"2011/12-2013/14","S02001630","Jewel, Brunstane and Newcraighall","Edinburgh, City of","Attainment","Raw"
4.74,"2011/12-2013/14","S02001629","Bingham, Magdalene and The Christians","Edinburgh, City of","Attainment","Raw"
4.95,"2011/12-2013/14","S02001624","Abbeyhill","Edinburgh, City of","Attainment","Raw"
4.7,"2011/12-2013/14","S02001623","Canongate, Southside and Dumbiedykes","Edinburgh, City of","Attainment","Raw"
5.74,"2011/12-2013/14","S02001626","Willowbrae and Duddingston Village","Edinburgh, City of","Attainment","Raw"
5.5,"2011/12-2013/14","S02001625","Meadowbank and Abbeyhill North","Edinburgh, City of","Attainment","Raw"
5,"2011/12-2013/14","S02001605","Moredun and Craigour","Edinburgh, City of","Attainment","Raw"
