"CPP","Year","Indicator","Type","value"
"Eilean Siar","2016/17-2018/19","Attainment","Raw",5.72216777777778
"Eilean Siar","2017/18-2019/20","Attainment","Raw",5.73294333333333
"Falkirk","2011/12-2013/14","Attainment","Raw",5.47452380952381
"Falkirk","2012/13-2014/15","Attainment","Raw",5.40285714285714
"Falkirk","2013/14-2015/16","Attainment","Raw",5.41571428571429
"Falkirk","2014/15-2016/17","Attainment","Raw",5.43428571428571
"Falkirk","2015/16-2017/18","Attainment","Raw",5.53357142857143
"Falkirk","2016/17-2018/19","Attainment","Raw",5.54356380952381
"Falkirk","2017/18-2019/20","Attainment","Raw",5.575935
"Fife","2011/12-2013/14","Attainment","Raw",5.41038461538462
"Fife","2012/13-2014/15","Attainment","Raw",5.44519230769231
"Fife","2013/14-2015/16","Attainment","Raw",5.46365384615385
"Fife","2014/15-2016/17","Attainment","Raw",5.44153846153846
"Fife","2015/16-2017/18","Attainment","Raw",5.44894230769231
"Fife","2016/17-2018/19","Attainment","Raw",5.44177548076923
"Fife","2017/18-2019/20","Attainment","Raw",5.44397682692308
"Glasgow City","2011/12-2013/14","Attainment","Raw",5.25036764705882
"Glasgow City","2012/13-2014/15","Attainment","Raw",5.30389705882353
"Glasgow City","2013/14-2015/16","Attainment","Raw",5.33007352941176
"Glasgow City","2014/15-2016/17","Attainment","Raw",5.35352941176471
"Glasgow City","2015/16-2017/18","Attainment","Raw",5.38492647058824
"Glasgow City","2016/17-2018/19","Attainment","Raw",5.40475352941176
"Glasgow City","2017/18-2019/20","Attainment","Raw",5.43891764705882
"Highland","2011/12-2013/14","Attainment","Raw",5.50035714285714
"Highland","2012/13-2014/15","Attainment","Raw",5.49178571428571
"Highland","2013/14-2015/16","Attainment","Raw",5.48107142857143
"Highland","2014/15-2016/17","Attainment","Raw",5.48428571428571
"Highland","2015/16-2017/18","Attainment","Raw",5.51410714285714
"Highland","2016/17-2018/19","Attainment","Raw",5.50008303571429
"Highland","2017/18-2019/20","Attainment","Raw",5.53340178571429
"Inverclyde","2011/12-2013/14","Attainment","Raw",5.61647058823529
"Inverclyde","2012/13-2014/15","Attainment","Raw",5.61764705882353
"Inverclyde","2013/14-2015/16","Attainment","Raw",5.57705882352941
"Inverclyde","2014/15-2016/17","Attainment","Raw",5.59647058823529
"Inverclyde","2015/16-2017/18","Attainment","Raw",5.62529411764706
"Inverclyde","2016/17-2018/19","Attainment","Raw",5.64316058823529
"Inverclyde","2017/18-2019/20","Attainment","Raw",5.67370294117647
"Midlothian","2011/12-2013/14","Attainment","Raw",5.41636363636364
"Midlothian","2012/13-2014/15","Attainment","Raw",5.41363636363636
"Midlothian","2013/14-2015/16","Attainment","Raw",5.41363636363636
"Midlothian","2014/15-2016/17","Attainment","Raw",5.43363636363636
"Midlothian","2015/16-2017/18","Attainment","Raw",5.43409090909091
"Midlothian","2016/17-2018/19","Attainment","Raw",5.42993818181818
"Midlothian","2017/18-2019/20","Attainment","Raw",5.44024681818182
"Moray","2011/12-2013/14","Attainment","Raw",5.5175
"Moray","2012/13-2014/15","Attainment","Raw",5.55458333333333
"Moray","2013/14-2015/16","Attainment","Raw",5.56416666666667
"Moray","2014/15-2016/17","Attainment","Raw",5.51875
"Moray","2015/16-2017/18","Attainment","Raw",5.48375
"Moray","2016/17-2018/19","Attainment","Raw",5.4339225
"Moray","2017/18-2019/20","Attainment","Raw",5.4302725
"North Ayrshire","2011/12-2013/14","Attainment","Raw",5.41421052631579
"North Ayrshire","2012/13-2014/15","Attainment","Raw",5.42026315789474
"North Ayrshire","2013/14-2015/16","Attainment","Raw",5.41342105263158
"North Ayrshire","2014/15-2016/17","Attainment","Raw",5.43052631578947
"North Ayrshire","2015/16-2017/18","Attainment","Raw",5.47973684210526
"North Ayrshire","2016/17-2018/19","Attainment","Raw",5.47342921052632
"North Ayrshire","2017/18-2019/20","Attainment","Raw",5.50264105263158
"North Lanarkshire","2011/12-2013/14","Attainment","Raw",5.39435897435897
"North Lanarkshire","2012/13-2014/15","Attainment","Raw",5.40602564102564
"North Lanarkshire","2013/14-2015/16","Attainment","Raw",5.37794871794872
"North Lanarkshire","2014/15-2016/17","Attainment","Raw",5.36782051282051
"North Lanarkshire","2015/16-2017/18","Attainment","Raw",5.35910256410256
"North Lanarkshire","2016/17-2018/19","Attainment","Raw",5.33069384615385
"North Lanarkshire","2017/18-2019/20","Attainment","Raw",5.3483591025641
"Orkney Islands","2011/12-2013/14","Attainment","Raw",5.61833333333333
"Orkney Islands","2012/13-2014/15","Attainment","Raw",5.615
"Orkney Islands","2013/14-2015/16","Attainment","Raw",5.67
"Orkney Islands","2014/15-2016/17","Attainment","Raw",5.65833333333333
"Orkney Islands","2015/16-2017/18","Attainment","Raw",5.63
"Orkney Islands","2016/17-2018/19","Attainment","Raw",5.64052333333333
"Orkney Islands","2017/18-2019/20","Attainment","Raw",5.6446
