"CPP","Year","Indicator","Type","value"
"Orkney Islands",2017,"Out of Work Benefits","Raw",6.61194029850746
"Orkney Islands",2018,"Out of Work Benefits","Raw",6.44029850746269
"Orkney Islands",2019,"Out of Work Benefits","Raw",6.82835820895522
"Orkney Islands",2020,"Out of Work Benefits","Raw",9.46268656716418
"Perth and Kinross",2013,"Out of Work Benefits","Raw",8.62472647702407
"Perth and Kinross",2014,"Out of Work Benefits","Raw",7.8304347826087
"Perth and Kinross",2015,"Out of Work Benefits","Raw",7.44733984799131
"Perth and Kinross",2016,"Out of Work Benefits","Raw",7.40303358613218
"Perth and Kinross",2017,"Out of Work Benefits","Raw",7.5157437567861
"Perth and Kinross",2018,"Out of Work Benefits","Raw",7.52344601962923
"Perth and Kinross",2019,"Out of Work Benefits","Raw",8.15594329334787
"Perth and Kinross",2020,"Out of Work Benefits","Raw",12.0251916757941
"Renfrewshire",2013,"Out of Work Benefits","Raw",14.5155279503106
"Renfrewshire",2014,"Out of Work Benefits","Raw",13.48
"Renfrewshire",2015,"Out of Work Benefits","Raw",12.6563055062167
"Renfrewshire",2016,"Out of Work Benefits","Raw",12.2939099735216
"Renfrewshire",2017,"Out of Work Benefits","Raw",12.2732864674868
"Renfrewshire",2018,"Out of Work Benefits","Raw",12.1207349081365
"Renfrewshire",2019,"Out of Work Benefits","Raw",12.4325500435161
"Renfrewshire",2020,"Out of Work Benefits","Raw",16.7645525629887
"Scotland",2013,"Out of Work Benefits","Raw",12.6255368208676
"Scotland",2014,"Out of Work Benefits","Raw",11.6972667512398
"Scotland",2015,"Out of Work Benefits","Raw",11.0735480161012
"Scotland",2016,"Out of Work Benefits","Raw",10.9670477664116
"Scotland",2017,"Out of Work Benefits","Raw",10.906120346791
"Scotland",2018,"Out of Work Benefits","Raw",10.9127197754997
"Scotland",2019,"Out of Work Benefits","Raw",11.5238721482074
"Scotland",2020,"Out of Work Benefits","Raw",15.6702164204741
"Scottish Borders",2013,"Out of Work Benefits","Raw",9.83068017366136
"Scottish Borders",2014,"Out of Work Benefits","Raw",9.23760932944606
"Scottish Borders",2015,"Out of Work Benefits","Raw",8.82576866764275
"Scottish Borders",2016,"Out of Work Benefits","Raw",8.85651537335285
"Scottish Borders",2017,"Out of Work Benefits","Raw",8.92532942898975
"Scottish Borders",2018,"Out of Work Benefits","Raw",9.11160058737151
"Scottish Borders",2019,"Out of Work Benefits","Raw",9.71870397643594
"Scottish Borders",2020,"Out of Work Benefits","Raw",13.6181277860327
"Shetland Islands",2013,"Out of Work Benefits","Raw",6.39455782312925
"Shetland Islands",2014,"Out of Work Benefits","Raw",5.59863945578231
"Shetland Islands",2015,"Out of Work Benefits","Raw",5.56849315068493
"Shetland Islands",2016,"Out of Work Benefits","Raw",6.00684931506849
"Shetland Islands",2017,"Out of Work Benefits","Raw",6.11111111111111
"Shetland Islands",2018,"Out of Work Benefits","Raw",6.38732394366197
"Shetland Islands",2019,"Out of Work Benefits","Raw",6.73571428571428
"Shetland Islands",2020,"Out of Work Benefits","Raw",9.30935251798561
"South Ayrshire",2013,"Out of Work Benefits","Raw",13.3492753623188
"South Ayrshire",2014,"Out of Work Benefits","Raw",12.493411420205
"South Ayrshire",2015,"Out of Work Benefits","Raw",11.7979351032448
"South Ayrshire",2016,"Out of Work Benefits","Raw",11.6355555555556
"South Ayrshire",2017,"Out of Work Benefits","Raw",11.7872023809524
"South Ayrshire",2018,"Out of Work Benefits","Raw",11.6851574212894
"South Ayrshire",2019,"Out of Work Benefits","Raw",13.3484162895928
"South Ayrshire",2020,"Out of Work Benefits","Raw",17.8145896656535
"South Lanarkshire",2013,"Out of Work Benefits","Raw",13.7664700098328
"South Lanarkshire",2014,"Out of Work Benefits","Raw",12.9753451676529
"South Lanarkshire",2015,"Out of Work Benefits","Raw",12.163708086785
"South Lanarkshire",2016,"Out of Work Benefits","Raw",11.7657790927022
"South Lanarkshire",2017,"Out of Work Benefits","Raw",11.551775147929
"South Lanarkshire",2018,"Out of Work Benefits","Raw",11.7728395061728
"South Lanarkshire",2019,"Out of Work Benefits","Raw",12.6369930761622
"South Lanarkshire",2020,"Out of Work Benefits","Raw",16.9534192269574
"Stirling",2013,"Out of Work Benefits","Raw",9.75593220338983
"Stirling",2014,"Out of Work Benefits","Raw",8.89847715736041
"Stirling",2015,"Out of Work Benefits","Raw",8.07641196013289
"Stirling",2016,"Out of Work Benefits","Raw",8.125
"Stirling",2017,"Out of Work Benefits","Raw",7.96546052631579
"Stirling",2018,"Out of Work Benefits","Raw",8.50657894736842
"Stirling",2019,"Out of Work Benefits","Raw",8.9603305785124
"Stirling",2020,"Out of Work Benefits","Raw",12.387417218543
"West Dunbartonshire",2013,"Out of Work Benefits","Raw",18.2136752136752
"West Dunbartonshire",2014,"Out of Work Benefits","Raw",16.9279588336192
"West Dunbartonshire",2015,"Out of Work Benefits","Raw",16.1086206896552
"West Dunbartonshire",2016,"Out of Work Benefits","Raw",15.9188255613126
"West Dunbartonshire",2017,"Out of Work Benefits","Raw",15.6834782608696
"West Dunbartonshire",2018,"Out of Work Benefits","Raw",15.9947368421053
"West Dunbartonshire",2019,"Out of Work Benefits","Raw",16.1678445229682
"West Dunbartonshire",2020,"Out of Work Benefits","Raw",21.7642857142857
"West Lothian",2013,"Out of Work Benefits","Raw",12.6005221932115
"West Lothian",2014,"Out of Work Benefits","Raw",11.5426086956522
"West Lothian",2015,"Out of Work Benefits","Raw",10.7404844290657
"West Lothian",2016,"Out of Work Benefits","Raw",10.5955249569707
"West Lothian",2017,"Out of Work Benefits","Raw",10.6586620926244
"West Lothian",2018,"Out of Work Benefits","Raw",10.3998287671233
"West Lothian",2019,"Out of Work Benefits","Raw",11.4807856532878
"West Lothian",2020,"Out of Work Benefits","Raw",15.303313508921
