"CPP","Year","child_population"
"Edinburgh, City of",2014,75329
"East Ayrshire",2002,23440
"East Dunbartonshire",2016,18810
"East Dunbartonshire",2013,18326
"Eilean Siar",2008,4717
"Fife",2011,64485
"Falkirk",2013,28309
"North Ayrshire",2015,23196
"Argyll and Bute",2016,13238
"East Dunbartonshire",2012,18482
"Angus",2015,19653
"Scottish Borders",2001,20185
"Aberdeenshire",2012,47752
"Eilean Siar",2005,4840
"Dundee City",2006,23979
"East Dunbartonshire",2011,18620
"Perth and Kinross",2008,25265
"North Ayrshire",2014,23369
"South Lanarkshire",2004,57783
"East Dunbartonshire",2007,19612
"North Ayrshire",2007,25331
"Angus",2012,19979
"Scottish Borders",2005,20119
"Falkirk",2012,28416
"Orkney Islands",2005,3765
"Midlothian",2012,15928
"Midlothian",2006,15500
"North Ayrshire",2001,27146
"South Lanarkshire",2001,59552
"Scottish Borders",2007,20003
"Shetland Islands",2009,4449
"Glasgow City",2010,96280
"North Ayrshire",2004,26144
"East Ayrshire",2016,21259
"Fife",2007,64621
"East Ayrshire",2014,21169
"Dundee City",2009,23902
"Highland",2015,39956
"West Lothian",2006,34720
"South Ayrshire",2010,18490
"West Dunbartonshire",2002,18163
"Highland",2008,41084
"South Ayrshire",2005,19190
"North Ayrshire",2011,24410
"West Lothian",2013,35010
"East Renfrewshire",2010,17821
"East Lothian",2003,18455
"East Dunbartonshire",2006,20040
"Clackmannanshire",2011,9302
"Falkirk",2001,28308
"East Ayrshire",2010,21674
"Shetland Islands",2014,4307
"Dundee City",2004,24418
"Edinburgh, City of",2015,76108
"Moray",2007,16810
"North Lanarkshire",2012,64456
"Dumfries and Galloway",2012,24618
"North Ayrshire",2013,23675
"Inverclyde",2002,15918
"Stirling",2007,16254
"Angus",2004,20469
"North Ayrshire",2016,23128
"Renfrewshire",2014,29973
"Clackmannanshire",2010,9459
"Aberdeen City",2009,32171
"Perth and Kinross",2014,24462
"East Lothian",2015,18915
"South Lanarkshire",2009,56499
"South Ayrshire",2008,18908
"West Dunbartonshire",2006,16706
"East Dunbartonshire",2004,20735
"East Ayrshire",2012,21559
"Aberdeenshire",2002,47242
"South Lanarkshire",2010,55940
"North Lanarkshire",2016,63299
"East Renfrewshire",2016,18662
"Highland",2002,40411
"Falkirk",2015,28318
"Moray",2002,17233
"Orkney Islands",2015,3489
"West Dunbartonshire",2004,17289
"Edinburgh, City of",2001,73229
"North Lanarkshire",2007,64681
"Stirling",2013,15639
"West Lothian",2009,35287
"Argyll and Bute",2009,14758
"Glasgow City",2016,98487
"West Dunbartonshire",2012,15917
"West Dunbartonshire",2005,16923
"Midlothian",2005,15703
"Shetland Islands",2007,4489
"East Dunbartonshire",2008,19287
"Renfrewshire",2003,32202
"East Dunbartonshire",2005,20346
"Dumfries and Galloway",2011,25077
"Stirling",2011,15944
"South Ayrshire",2015,17798
"Argyll and Bute",2007,15359
"Scottish Borders",2008,20072
"Moray",2015,16502
"South Ayrshire",2011,18434
"Fife",2015,64081
"Angus",2003,20298
"Argyll and Bute",2002,16692
