"CPP","Year","Indicator","Type","value"
"Dundee City","2020/2021","Crime","Raw",856
"Dundee City","2021/2022","Crime","Raw",807
"East Ayrshire","2008/2009","Crime","Raw",817
"East Ayrshire","2009/2010","Crime","Raw",796
"East Ayrshire","2010/2011","Crime","Raw",763
"East Ayrshire","2011/2012","Crime","Raw",746
"East Ayrshire","2012/2013","Crime","Raw",619
"East Ayrshire","2013/2014","Crime","Raw",588
"East Ayrshire","2014/2015","Crime","Raw",609
"East Ayrshire","2015/2016","Crime","Raw",602
"East Ayrshire","2016/2017","Crime","Raw",549
"East Ayrshire","2017/2018","Crime","Raw",528
"East Ayrshire","2018/2019","Crime","Raw",523
"East Ayrshire","2019/2020","Crime","Raw",561
"East Ayrshire","2020/2021","Crime","Raw",541
"East Ayrshire","2021/2022","Crime","Raw",529
"East Dunbartonshire","2008/2009","Crime","Raw",450
"East Dunbartonshire","2009/2010","Crime","Raw",458
"East Dunbartonshire","2010/2011","Crime","Raw",452
"East Dunbartonshire","2011/2012","Crime","Raw",442
"East Dunbartonshire","2012/2013","Crime","Raw",393
"East Dunbartonshire","2013/2014","Crime","Raw",353
"East Dunbartonshire","2014/2015","Crime","Raw",320
"East Dunbartonshire","2015/2016","Crime","Raw",293
"East Dunbartonshire","2016/2017","Crime","Raw",319
"East Dunbartonshire","2017/2018","Crime","Raw",292
"East Dunbartonshire","2018/2019","Crime","Raw",319
"East Dunbartonshire","2019/2020","Crime","Raw",319
"East Dunbartonshire","2020/2021","Crime","Raw",342
"East Dunbartonshire","2021/2022","Crime","Raw",265
"East Lothian","2008/2009","Crime","Raw",549
"East Lothian","2009/2010","Crime","Raw",547
"East Lothian","2010/2011","Crime","Raw",537
"East Lothian","2011/2012","Crime","Raw",461
"East Lothian","2012/2013","Crime","Raw",399
"East Lothian","2013/2014","Crime","Raw",425
"East Lothian","2014/2015","Crime","Raw",404
"East Lothian","2015/2016","Crime","Raw",400
"East Lothian","2016/2017","Crime","Raw",408
"East Lothian","2017/2018","Crime","Raw",425
"East Lothian","2018/2019","Crime","Raw",457
"East Lothian","2019/2020","Crime","Raw",442
"East Lothian","2020/2021","Crime","Raw",434
"East Lothian","2021/2022","Crime","Raw",408
"East Renfrewshire","2008/2009","Crime","Raw",451
"East Renfrewshire","2009/2010","Crime","Raw",403
"East Renfrewshire","2010/2011","Crime","Raw",411
"East Renfrewshire","2011/2012","Crime","Raw",380
"East Renfrewshire","2012/2013","Crime","Raw",324
"East Renfrewshire","2013/2014","Crime","Raw",271
"East Renfrewshire","2014/2015","Crime","Raw",276
"East Renfrewshire","2015/2016","Crime","Raw",261
"East Renfrewshire","2016/2017","Crime","Raw",281
"East Renfrewshire","2017/2018","Crime","Raw",312
"East Renfrewshire","2018/2019","Crime","Raw",277
"East Renfrewshire","2019/2020","Crime","Raw",279
"East Renfrewshire","2020/2021","Crime","Raw",265
"East Renfrewshire","2021/2022","Crime","Raw",227
"Falkirk","2008/2009","Crime","Raw",750
"Falkirk","2009/2010","Crime","Raw",650
"Falkirk","2010/2011","Crime","Raw",676
"Falkirk","2011/2012","Crime","Raw",660
"Falkirk","2012/2013","Crime","Raw",594
"Falkirk","2013/2014","Crime","Raw",583
"Falkirk","2014/2015","Crime","Raw",550
"Falkirk","2015/2016","Crime","Raw",514
"Falkirk","2016/2017","Crime","Raw",476
"Falkirk","2017/2018","Crime","Raw",551
"Falkirk","2018/2019","Crime","Raw",552
"Falkirk","2019/2020","Crime","Raw",564
"Falkirk","2020/2021","Crime","Raw",517
"Falkirk","2021/2022","Crime","Raw",496
"Fife","2008/2009","Crime","Raw",826
"Fife","2009/2010","Crime","Raw",722
"Fife","2010/2011","Crime","Raw",647
"Fife","2011/2012","Crime","Raw",619
"Fife","2012/2013","Crime","Raw",530
"Fife","2013/2014","Crime","Raw",571
"Fife","2014/2015","Crime","Raw",510
"Fife","2015/2016","Crime","Raw",494
"Fife","2016/2017","Crime","Raw",488
"Fife","2017/2018","Crime","Raw",503
"Fife","2018/2019","Crime","Raw",504
"Fife","2019/2020","Crime","Raw",474
"Fife","2020/2021","Crime","Raw",488
"Fife","2021/2022","Crime","Raw",512
