"AreaLabel","CPP","Most_Deprived_Comm","Positive Destinations_2012/13_CPPScore","Child Poverty_2014/15","Child Poverty_2019/20","Child Poverty_2019/20_Change","Crime Rate_2008/09","Crime Rate_2019/20","Crime Rate_2019/20_Change","Depopulation_2008/09","Depopulation_2019/20","Depopulation_2019/20_Change","Early Mortality_2010/11","Early Mortality_2019/20","Early Mortality_2019/20_Change","Emergency Admissions_2008/09","Emergency Admissions_2019/20","Emergency Admissions_2019/20_Change","Out of Work Benefits_2012/13","Out of Work Benefits_2019/20","Out of Work Benefits_2019/20_Change","Positive Destinations_2008/09","Positive Destinations_2012/13","Positive Destinations_2012/13_Change","Attainment_2013/14","Attainment_2019/20","Attainment_2019/20_Change","InterZone_Name"
"East Dunbartonshire","East Dunbartonshire","5th Most Vulnerable","Slower",6.88,11.85,"Slower",928,702,"Slower",97.56,94.92,"Faster",556,514,"Slower",26190,29228,"Slower",11.43,18.95,"Slower",89.7,95.6,"Faster",6,6.04,"Slower","Kirkintilloch West"
"East Lothian","East Lothian","5th Most Vulnerable","Faster",18.94,22,"Faster",839,623,"Slower",93.89,87.49,"Slower",574,373,"Faster",21053,24715,"Slower",12.14,16.97,"Faster",77.34,83.32,"Faster",5.19,5.38,"Faster","Tranent North"
"East Renfrewshire","East Renfrewshire","5th Most Vulnerable","Faster",10.82,14.66,"Slower",415,253,"Slower",98.69,92.79,"Faster",492,424,"Slower",23417,22315,"Faster",9.87,10.79,"Faster",95,94.7,"Slower",6,6.06,"Faster","Busby"
"Edinburgh, City of","Edinburgh, City of","5th Most Vulnerable","Faster",20.98,25.52,"Faster",2204,919,"Faster",87.8,79.53,"Slower",860,929,"Slower",37111,36313,"Faster",31.65,34.11,"Faster",69.02,99.24,"Faster",4.61,4.89,"Faster","Niddrie"
"Eilean Siar","Eilean Siar","5th Most Vulnerable","Faster",6.85,12.77,"Slower",266,140,"Slower",100.35,101.74,"Faster",567,347,"Faster",25368,30417,"Slower",7.83,9.57,"Faster",87.5,91.9,"Slower",5.51,5.54,"Faster","Benbecula and North Uist"
"Falkirk","Falkirk","5th Most Vulnerable","Faster",18.48,26.26,"Slower",650,449,"Slower",106.84,108.65,"Slower",569,610,"Slower",27418,32706,"Faster",15.63,21.67,"Slower",69.87,94.31,"Faster",5.03,5.28,"Faster","Grangemouth - Newlands"
"Fife","Fife","5th Most Vulnerable","Faster",28.32,36.54,"Faster",1045,601,"Slower",107.01,111.12,"Slower",584,478,"Faster",20147,28140,"Slower",25.04,32.44,"Faster",80.02,87.93,"Faster",4.82,4.94,"Faster","Ballingry"
"Glasgow City","Glasgow City","5th Most Vulnerable","Faster",22.49,40.03,"Slower",2403,946,"Faster",103.42,99.65,"Slower",1170,724,"Faster",39850,29006,"Faster",33.79,32.16,"Faster",68.02,73.25,"Faster",4.8,4.93,"Slower","Keppochhill"
"Highland","Highland","5th Most Vulnerable","Faster",15.53,30.25,"Slower",1307,502,"Faster",90.64,88.86,"Faster",650,520,"Faster",24184,25041,"Slower",16.49,23.05,"Faster",77.55,86.92,"Faster",5.09,5.1,"Slower","Alness"
"Inverclyde","Inverclyde","5th Most Vulnerable","Slower",17.96,21.63,"Faster",870,565,"Slower",114.76,126.34,"Slower",727,708,"Slower",32633,37500,"Slower",21.55,29.38,"Slower",81.24,86.03,"Faster",5.28,5.35,"Faster","Lower Bow and Larkfield, Fancy Farm, Mallard Bowl"
"Midlothian","Midlothian","5th Most Vulnerable","Faster",19.58,27.62,"Slower",1100,657,"Faster",103.87,106.13,"Slower",495,461,"Faster",25655,39765,"Slower",16.37,20.74,"Faster",69.17,94.36,"Faster",5.16,5.3,"Faster","Gorebridge and Middleton"
"Moray","Moray","5th Most Vulnerable","Faster",13.37,14.53,"Faster",533,226,"Faster",96.38,100.28,"Slower",456,470,"Slower",24405,16947,"Faster",7.07,9.92,"Faster",77.1,94.9,"Faster",5.42,5.3,"Slower","Lossiemouth East and Seatown"
"North Ayrshire","North Ayrshire","5th Most Vulnerable","Faster",29.64,38.72,"Slower",1632,980,"Faster",103.9,104.99,"Faster",829,783,"Slower",33333,28491,"Faster",33.59,41.26,"Faster",71.66,85.8,"Faster",5.08,5.06,"Slower","Ardrossan Central"
"North Lanarkshire","North Lanarkshire","5th Most Vulnerable","Faster",21.65,24.78,"Faster",1164,536,"Faster",100.89,107.59,"Slower",762,683,"Slower",27736,31178,"Faster",21.29,26.11,"Faster",75.49,89.77,"Faster",5.23,4.99,"Slower","Thrashbush"
"Orkney Islands","Orkney Islands","5th Most Vulnerable","Faster",12.32,14.06,"Faster",97,66,"Slower",86.89,78.48,"Faster",409,272,"Faster",21125,15690,"Faster",4.34,6.22,"Faster",96.4,94.3,"Faster",5.49,5.64,"Faster","West Mainland"
"Perth and Kinross","Perth and Kinross","5th Most Vulnerable","Slower",22.3,28.38,"Faster",715,461,"Slower",105.03,112.63,"Slower",570,454,"Faster",22962,31726,"Slower",16.57,22.01,"Faster",81.94,84.83,"Faster",4.85,5.07,"Faster","Letham"
"Renfrewshire","Renfrewshire","5th Most Vulnerable","Faster",17.26,22.87,"Faster",2123,1621,"Slower",87.34,77.26,"Faster",781,660,"Slower",29290,29301,"Faster",18.22,19.87,"Faster",78.7,81.5,"Slower",5.02,5.48,"Faster","Paisley Central"
"Scottish Borders","Scottish Borders","5th Most Vulnerable","Faster",12.61,17.19,"Faster",603,417,"Faster",100.01,102.73,"Slower",406,416,"Slower",35068,27504,"Faster",8.79,13.14,"Slower",80.08,97.28,"Faster",5.51,5.74,"Faster","Peebles North"
"Shetland Islands","Shetland Islands","5th Most Vulnerable","Faster",4.56,10.31,"Slower",150,44,"Faster",95.27,88.07,"Faster",444,316,"Faster",25956,18462,"Faster",5.77,5.73,"Faster",94.7,97.8,"Faster",5.7,5.76,"Slower","Shetland South"
"South Ayrshire","South Ayrshire","5th Most Vulnerable","Slower",25.46,27.09,"Faster",760,619,"Slower",101.79,110.45,"Slower",503,518,"Slower",27302,33007,"Slower",20.13,27.42,"Faster",84.3,95.1,"Faster",5.34,5.39,"Slower","Girvan Glendoune"
"South Lanarkshire","South Lanarkshire","5th Most Vulnerable","Faster",22.8,30.57,"Slower",999,677,"Faster",101.08,105.27,"Slower",774,757,"Slower",28689,35852,"Slower",24.19,31.71,"Slower",77.3,76.9,"Slower",4.38,5.04,"Faster","Strutherhill"
"Stirling","Stirling","5th Most Vulnerable","Slower",16.85,27.41,"Slower",829,413,"Faster",97.3,94.88,"Slower",551,686,"Slower",31953,34679,"Slower",16.63,20.93,"Faster",82.8,77.8,"Slower",4.78,5.23,"Faster","Fallin"
"West Dunbartonshire","West Dunbartonshire","5th Most Vulnerable","Slower",18.1,25.41,"Slower",1072,697,"Slower",104.17,110.81,"Slower",762,686,"Slower",30450,35575,"Slower",24.81,29.18,"Faster",78.9,81.6,"Slower",5.26,5.28,"Faster","Dalmuir"
"West Lothian","West Lothian","5th Most Vulnerable","Faster",16.14,18.81,"Faster",1007,454,"Faster",60.37,53.92,"Faster",620,430,"Faster",24409,26667,"Slower",13.28,16.44,"Faster",78.38,83.93,"Faster",5.26,5.39,"Faster","Armadale South"
"CPP Average","Aberdeen City","6","Faster",10.04,15.16,"Faster",1081,559,"Faster",98.5,93.01,"Slower",525,479,"Slower",25933,26488,"Faster",7.38,11.68,"Slower",83.06,90.82,"Faster",5.36,5.48,"Faster","Aberdeen City Average"
"CPP Average","Aberdeenshire","6","Faster",8.5,11.78,"Faster",376,258,"Slower",92.53,89.88,"Faster",388,345,"Faster",19795,19585,"Slower",5.72,9.46,"Faster",91.25,93.94,"Slower",5.44,5.56,"Slower","Aberdeenshire Average"
"CPP Average","Angus","6","Faster",13.21,17.84,"Slower",496,275,"Slower",95.44,94.47,"Faster",419,379,"Slower",21473,20672,"Faster",8.98,14.25,"Faster",86.45,92.86,"Faster",5.5,5.47,"Faster","Angus Average"
"CPP Average","Argyll and Bute","6","Slower",13.32,18.28,"Faster",533,271,"Slower",101.15,107.13,"Slower",459,393,"Slower",24032,22474,"Slower",9.49,14.96,"Faster",87.24,92.68,"Slower",5.61,5.64,"Faster","Argyll and Bute Average"
"CPP Average","Clackmannanshire","6","Slower",16.5,21.47,"Slower",849,418,"Slower",93.74,93.2,"Slower",475,447,"Slower",22116,25120,"Faster",13.77,18.05,"Faster",80.91,86.51,"Slower",5.4,5.36,"Faster","Clackmannanshire Average"
"CPP Average","Dumfries and Galloway","6","Slower",15.59,20.95,"Slower",543,428,"Faster",97.94,99.98,"Slower",431,381,"Slower",20905,24125,"Slower",10.54,15.5,"Faster",88.43,91.5,"Slower",5.56,5.56,"Faster","Dumfries and Galloway Average"
"CPP Average","Dundee City","6","Faster",16.44,21.72,"Slower",967,600,"Faster",101.17,99.32,"Slower",605,573,"Faster",25868,27535,"Slower",15.78,19.47,"Slower",78.14,89.04,"Faster",5.35,5.15,"Faster","Dundee City Average"
"CPP Average","East Ayrshire","6","Faster",17.81,23.46,"Slower",701,454,"Faster",99.25,100.52,"Faster",547,494,"Faster",26900,30635,"Faster",15.13,20.59,"Faster",83.6,91.73,"Faster",5.39,5.37,"Slower","East Ayrshire Average"
"CPP Average","East Dunbartonshire","6","Faster",8.08,10.36,"Slower",404,241,"Faster",103.04,100.8,"Faster",371,309,"Slower",22599,23177,"Faster",7.26,10.41,"Faster",91.47,95.51,"Faster",6,6.08,"Faster","East Dunbartonshire Average"
"CPP Average","East Lothian","6","Faster",13.07,16.04,"Faster",489,361,"Faster",93.48,86.36,"Faster",433,353,"Faster",21520,23043,"Faster",9.34,13.47,"Faster",84.05,89.89,"Slower",5.54,5.56,"Faster","East Lothian Average"
"CPP Average","East Renfrewshire","6","Faster",8.4,10.02,"Faster",409,241,"Faster",99.83,95.03,"Faster",365,305,"Slower",22161,22921,"Slower",6.98,9.53,"Faster",91.02,93.88,"Faster",6.08,6.13,"Faster","East Renfrewshire Average"
"CPP Average","Edinburgh, City of","6","Faster",10.31,12.64,"Faster",1006,590,"Faster",97.11,86.92,"Faster",484,418,"Slower",24141,25693,"Faster",9.53,11.5,"Faster",83.35,91.34,"Faster",5.56,5.66,"Faster","Edinburgh, City of Average"
"CPP Average","Eilean Siar","6","Slower",10.43,14.94,"Faster",353,136,"Slower",97.73,100.42,"Faster",497,412,"Slower",26773,29265,"Slower",9.12,12.74,"Slower",88.06,95.8,"Slower",5.7,5.73,"Slower","Eilean Siar Average"
"CPP Average","Falkirk","6","Faster",15.57,19.77,"Faster",645,432,"Faster",95.08,93.78,"Faster",484,448,"Slower",22266,27740,"Faster",11.94,15.96,"Faster",85.38,89.61,"Slower",5.47,5.58,"Slower","Falkirk Average"
"CPP Average","Fife","6","Slower",15.83,20.92,"Faster",738,377,"Slower",97.14,95.86,"Slower",466,431,"Slower",22942,25733,"Faster",12.1,16.79,"Slower",86.3,88.16,"Faster",5.41,5.44,"Slower","Fife Average"
"CPP Average","Glasgow City","6","Faster",20.4,27.09,"Slower",1280,704,"Faster",100.77,95.53,"Slower",749,636,"Slower",33912,32173,"Faster",19.54,22.12,"Faster",81.31,85.34,"Slower",5.25,5.44,"Faster","Glasgow City Average"
"CPP Average","Highland","6","Faster",13.45,17.46,"Slower",623,329,"Faster",92.08,90.77,"Faster",453,399,"Slower",23146,22517,"Slower",8.93,14.13,"Faster",85.73,92.13,"Faster",5.5,5.53,"Faster","Highland Average"
"CPP Average","Inverclyde","6","Faster",12.62,16.88,"Faster",759,443,"Slower",102.33,108.99,"Slower",581,527,"Faster",26422,29875,"Faster",16.24,20.38,"Faster",89.48,93.02,"Faster",5.62,5.67,"Slower","Inverclyde Average"
"CPP Average","Midlothian","6","Slower",12.83,16.74,"Slower",734,514,"Slower",99.66,91.72,"Slower",422,413,"Faster",22325,26583,"Faster",11.44,15.73,"Slower",79.9,87.43,"Slower",5.42,5.44,"Slower","Midlothian Average"
"CPP Average","Moray","6","Faster",12.78,16.82,"Slower",581,273,"Faster",93.91,92.06,"Slower",425,383,"Slower",19668,18301,"Faster",7.69,11.8,"Faster",84.89,92.38,"Faster",5.52,5.43,"Slower","Moray Average"
"CPP Average","North Ayrshire","6","Slower",18.48,24.03,"Faster",760,473,"Faster",99.13,101.12,"Slower",549,490,"Slower",26659,29760,"Slower",16.42,22.43,"Faster",84.29,91.46,"Slower",5.41,5.5,"Slower","North Ayrshire Average"
"CPP Average","North Lanarkshire","6","Faster",16.69,21.93,"Faster",779,523,"Slower",96.7,96.21,"Faster",585,520,"Slower",27518,31137,"Faster",15.12,18.91,"Faster",84.2,88.19,"Faster",5.39,5.35,"Slower","North Lanarkshire Average"
"CPP Average","Orkney Islands","6","Faster",12.7,15.91,"Faster",246,166,"Faster",93.61,89.18,"Slower",448,359,"Faster",24071,18057,"Faster",6.51,9.6,"Slower",93.93,90.61,"Slower",5.62,5.64,"Faster","Orkney Islands Average"
"CPP Average","Perth and Kinross","6","Faster",12.43,16.45,"Slower",529,289,"Faster",94.45,89.31,"Faster",399,363,"Slower",22281,22478,"Faster",7.91,11.86,"Slower",89.91,92.51,"Faster",5.6,5.65,"Faster","Perth and Kinross Average"
"CPP Average","Renfrewshire","6","Faster",11.6,17.13,"Slower",784,429,"Slower",100.14,99.07,"Slower",577,482,"Faster",27094,28444,"Faster",13.42,16.61,"Faster",83.74,88.72,"Faster",5.52,5.64,"Faster","Renfrewshire Average"
"CPP Average","Scottish Borders","6","Slower",13.97,19.6,"Faster",447,335,"Faster",94.55,93.61,"Slower",410,369,"Slower",24466,23593,"Slower",9.52,14.09,"Faster",88.09,91.56,"Faster",5.54,5.58,"Faster","Scottish Borders Average"
"CPP Average","Shetland Islands","6","Slower",6.81,10.36,"Faster",302,155,"Slower",97.33,95.72,"Slower",422,322,"Slower",20834,18509,"Slower",5.68,8.59,"Slower",93.92,95.89,"Slower",5.56,5.7,"Faster","Shetland Islands Average"
"CPP Average","South Ayrshire","6","Faster",15.37,20.02,"Faster",653,437,"Slower",99.4,99.78,"Faster",485,443,"Faster",26325,31252,"Faster",12.85,18.02,"Faster",83.02,91.49,"Faster",5.56,5.61,"Slower","South Ayrshire Average"
"CPP Average","South Lanarkshire","6","Faster",14.36,18.12,"Slower",648,446,"Faster",98.16,97.92,"Slower",515,445,"Slower",25618,28470,"Faster",13.24,17.21,"Slower",87.13,89.6,"Faster",5.45,5.57,"Faster","South Lanarkshire Average"
"CPP Average","Stirling","6","Faster",12.7,16.09,"Faster",695,393,"Faster",97.15,91.2,"Faster",442,406,"Faster",22992,23839,"Faster",9.82,13.06,"Faster",85.66,86.4,"Faster",5.59,5.72,"Faster","Stirling Average"
"CPP Average","West Dunbartonshire","6","Slower",15.84,21.5,"Slower",964,504,"Faster",102.22,105.58,"Faster",614,541,"Slower",27220,28550,"Faster",17.23,21.55,"Slower",84.66,88.2,"Slower",5.43,5.44,"Slower","West Dunbartonshire Average"
"CPP Average","West Lothian","6","Faster",13.35,18.07,"Slower",699,414,"Faster",91.97,88.03,"Faster",480,413,"Slower",25734,26861,"Faster",11.75,15.47,"Faster",84.43,88.38,"Faster",5.5,5.56,"Slower","West Lothian Average"
