"AreaLabel","CPP","Most_Deprived_Comm","Positive Destinations_2012/13_CPPScore","Child Poverty_2014/15","Child Poverty_2019/20","Child Poverty_2019/20_Change","Crime Rate_2008/09","Crime Rate_2019/20","Crime Rate_2019/20_Change","Depopulation_2008/09","Depopulation_2019/20","Depopulation_2019/20_Change","Early Mortality_2010/11","Early Mortality_2019/20","Early Mortality_2019/20_Change","Emergency Admissions_2008/09","Emergency Admissions_2019/20","Emergency Admissions_2019/20_Change","Out of Work Benefits_2012/13","Out of Work Benefits_2019/20","Out of Work Benefits_2019/20_Change","Positive Destinations_2008/09","Positive Destinations_2012/13","Positive Destinations_2012/13_Change","Attainment_2013/14","Attainment_2019/20","Attainment_2019/20_Change","InterZone_Name"
"Angus","Angus","3","Faster",24.12,34.6,"Slower",819,447,"Faster",99.67,109.34,"Slower",491,445,"Slower",17872,21886,"Slower",16.79,25.03,"Faster",70.7,92.7,"Faster",4.99,5.07,"Faster","Arbroath Warddykes"
"Argyll and Bute","Argyll and Bute","3","Slower",16.73,25.05,"Slower",926,552,"Slower",108.14,117.67,"Slower",579,649,"Slower",29935,20480,"Faster",20.71,30.56,"Faster",87.98,94.91,"Faster",5.28,5.39,"Faster","Rothesay Town"
"Clackmannanshire","Clackmannanshire","3","Slower",17.01,28.14,"Slower",889,462,"Slower",95.62,97.26,"Slower",543,572,"Slower",26023,26521,"Faster",17.72,24.06,"Slower",76.9,81.4,"Slower",5.26,4.95,"Slower","Sauchie"
"Dumfries and Galloway","Dumfries and Galloway","3","Faster",28.91,31.07,"Faster",839,568,"Faster",110.86,111.74,"Faster",486,532,"Slower",25187,26121,"Faster",21.87,29.6,"Faster",76.99,84.87,"Faster",5.14,5.07,"Slower","Stranraer West"
"Dundee City","Dundee City","3","Slower",23.47,33.96,"Slower",987,1000,"Slower",125.03,134.49,"Slower",798,1001,"Slower",31853,34086,"Slower",24.54,30.09,"Faster",56.56,82.77,"Faster",5.1,4.43,"Slower","Hilltown"
"East Ayrshire","East Ayrshire","3","Faster",27.98,30.2,"Faster",662,717,"Slower",104.82,112.81,"Slower",605,775,"Slower",38268,38678,"Faster",22.6,29.7,"Faster",67.9,93.1,"Faster",4.56,4.94,"Faster","Doon Valley South"
"East Dunbartonshire","East Dunbartonshire","3","Faster",13.1,20.27,"Slower",547,298,"Faster",89.44,78.51,"Faster",598,420,"Faster",34955,28894,"Faster",14.59,17.85,"Faster",87.24,94.06,"Faster",5.7,6.06,"Faster","Auchinairn"
"East Lothian","East Lothian","3","Faster",14.54,20.21,"Slower",986,779,"Slower",100.53,98.14,"Slower",492,398,"Faster",32717,31892,"Faster",11.74,17.14,"Slower",82.8,87.5,"Slower",5.24,5.56,"Faster","Musselburgh North"
"East Renfrewshire","East Renfrewshire","3","Slower",9.62,15.73,"Slower",441,363,"Slower",97.59,101.32,"Slower",483,410,"Slower",24614,25061,"Faster",10.6,14.71,"Slower",87.83,88.21,"Slower",5.83,5.97,"Faster","West Neilston and Uplawmoor"
"Edinburgh, City of","Edinburgh, City of","3","Faster",20.48,25.9,"Slower",2613,764,"Faster",100.86,99.14,"Slower",689,722,"Slower",34921,33676,"Faster",16.22,20.84,"Slower",71.2,74.3,"Slower",4.79,5.24,"Faster","Broomhouse and Bankhead"
"Eilean Siar","Eilean Siar","3","Faster",10.72,14.77,"Faster",190,24,"Faster",96.23,105.78,"Slower",407,417,"Slower",26556,23921,"Faster",9.86,11.46,"Faster",88.6,100,"Faster",5.55,5.79,"Faster","Northwest Lewis"
"Falkirk","Falkirk","3","Slower",21.98,24.18,"Faster",1082,863,"Slower",101.21,101.44,"Slower",769,811,"Slower",23102,29195,"Slower",23.61,29.52,"Faster",73.77,74.1,"Slower",5.28,5.19,"Slower","Falkirk - Camelon East"
"Fife","Fife","3","Faster",31.14,30.01,"Faster",1789,1172,"Slower",102.32,97.11,"Faster",767,736,"Slower",24655,29248,"Slower",26.03,36.35,"Slower",75.52,83.29,"Faster",4.62,4.46,"Slower","Methil East"
"Glasgow City","Glasgow City","3","Faster",26.79,35.56,"Faster",1548,664,"Faster",101.58,111.39,"Slower",1095,850,"Faster",41852,44083,"Slower",35.22,42.89,"Slower",69.72,75.01,"Faster",4.56,5.11,"Faster","Drumchapel North"
"Highland","Highland","3","Slower",16.06,21.62,"Slower",3537,2512,"Slower",92.44,95.67,"Slower",960,842,"Faster",18863,27313,"Slower",13.61,20.72,"Faster",85.7,84.42,"Slower",5.32,5.21,"Slower","Inverness Central, Raigmore and Longman"
"Inverclyde","Inverclyde","3","Slower",15.11,27.42,"Slower",1219,935,"Slower",102.78,120.6,"Slower",858,783,"Slower",24219,31656,"Slower",30.52,37.31,"Faster",92.85,91.18,"Slower",5.25,5.1,"Slower","Greenock Upper Central"
"Midlothian","Midlothian","3","Faster",16.88,25.65,"Slower",1046,582,"Faster",101.76,103.12,"Slower",452,370,"Faster",27842,26096,"Faster",15.97,22.85,"Slower",63,78.8,"Faster",5.02,4.8,"Slower","Easthouses"
"Moray","Moray","3","Slower",13.44,17.59,"Faster",1299,631,"Slower",91.21,94.85,"Slower",499,488,"Slower",19525,23292,"Slower",9.11,13.84,"Faster",88.66,91.37,"Slower",5.46,5.27,"Slower","Elgin Bishopmill East and Ladyhill"
"North Ayrshire","North Ayrshire","3","Faster",25.19,30.98,"Faster",1250,635,"Faster",102.24,105.8,"Slower",834,628,"Faster",29845,43750,"Slower",24.46,33.14,"Faster",82,82.9,"Slower",4.9,5.35,"Faster","Irvine Castlepark South"
